사용승인일자,화재조기진압용스프링클러보유여부,건물일련번호,스프링클러가용여부,기본주소,시도명,시군구명,법정동명,스프링클러보유여부,화재조기진압용스프링클러가용여부,간이스프링클러보유여부,대상물명,간이스프링클러가용여부,X좌표,Y좌표
20010227.0,N,11000000102066,N,서울특별시 종로구 돈의동,서울특별시,종로구,돈의동,N,N,N,"T모텔(구,하얏트모텔)",N,199111.2,452186.81
20010216.0,N,11000000102095,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,호텔 야자,N,198924.0,452252.01
20010418.0,N,11000000102283,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,덴버모텔(폐업),N,201657.87,443098.69
20010424.0,N,11000000102367,N,서울특별시 종로구 운니동,서울특별시,종로구,운니동,N,N,N,호텔담(구.호텔아비숑),N,198890.0,452675.61
20010820.0,N,11000000103119,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,메이저호텔,N,194443.93,450233.27
20010903.0,N,11000000103468,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,체리호텔,N,210886.78,445428.16
20010926.0,N,11000000103559,N,서울특별시 강남구 대치동,서울특별시,강남구,대치동,N,N,Y,그레이호텔(구.제이비스호텔),Y,204943.9,443450.24
20011123.0,N,11000000104362,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,어반슬로우,N,194443.93,450233.27
20011224.0,N,11000000104784,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,HL모텔(구 아모르모텔),N,210886.78,445428.16
20011227.0,N,11000000104952,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,씨애틀호텔,N,202854.29,443685.08
20020124.0,N,11000000104980,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,엘르모텔,N,202854.29,443685.08
20010110.0,N,11000000105128,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,라비호텔,N,210886.78,445428.16
20011228.0,N,11000000105144,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,하오호텔,N,210886.78,445428.16
20020118.0,N,11000000105407,N,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,N,N,N,캘리포니아호텔,N,205485.15,445790.25
20020608.0,N,11000000105506,Y,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,Y,N,N,오라카이인사동스위츠(금보개발),N,198924.0,452252.01
20020215.0,N,11000000105655,N,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,N,N,N,제이더블유,N,205485.15,445790.25
20020311.0,N,11000000105665,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,반호텔,N,207735.56,445529.41
20020313.0,N,11000000106006,Y,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,Y,N,N,한무컨벤션부속동 오크우드호텔,N,205485.15,445790.25
20020315.0,N,11000000106026,N,서울특별시 중구 명동1가,서울특별시,중구,명동1가,Y,N,N,명동센트럴빌딩(구.스카이파크호텔),N,198573.18,451334.01
20020330.0,N,11000000106139,Y,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,Y,N,Y,타라호텔(구.클레오파트라),Y,205485.15,445790.25
20020514.0,N,11000000106415,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,월호텔,N,210886.78,445428.16
20020601.0,N,11000000106429,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,아나호텔,N,202854.29,443685.08
20020629.0,N,11000000106535,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,호텔팝,N,198924.0,452252.01
20020513.0,N,11000000106634,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,호텔어반,N,210886.78,445428.16
20020525.0,N,11000000106738,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,인트로호텔,N,202854.29,443685.08
20020706.0,N,11000000107125,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,라자호텔,N,210886.78,445428.16
20020719.0,N,11000000107166,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,호텔마리,N,202854.29,443685.08
20020812.0,N,11000000107227,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,린호텔,N,202854.29,443685.08
20020805.0,N,11000000107454,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,와우모텔,N,210886.78,445428.16
20240507.0,N,11000000107460,Y,서울특별시 송파구 방이동,서울특별시,송파구,방이동,Y,N,N,오로시에호텔,N,210886.78,445428.16
20020909.0,N,11000000107572,N,서울특별시 종로구 연지동,서울특별시,종로구,연지동,N,N,N,호텔 앳 홈(리스호텔),N,199942.01,452384.0
20020830.0,N,11000000107848,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,멜리샤호텔,N,202854.29,443685.08
20020830.0,N,11000000107964,Y,서울특별시 중구 예장동,서울특별시,중구,예장동,Y,N,N,오리엔스호텔,N,199054.37,450326.79
20020923.0,N,11000000108174,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,대승빌딩,N,202854.29,443685.08
20021010.0,N,11000000108249,Y,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,Y,N,N,폼호텔,N,207735.56,445529.41
20021126.0,N,11000000109089,Y,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,Y,N,N,김성민건물,N,202854.29,443685.08
20030127.0,N,11000000110815,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,베네키아 노블레스호텔,N,202854.29,443685.08
20030128.0,N,11000000110875,N,서울특별시 종로구 원남동,서울특별시,종로구,원남동,N,N,N,원남동226-1건물,N,199709.21,452580.8
20030305.0,N,11000000111075,N,서울특별시 강남구 신사동,서울특별시,강남구,신사동,N,N,N,까사미아(호텔라까사),N,201943.53,446861.12
20030307.0,N,11000000111179,N,서울특별시 강남구 대치동,서울특별시,강남구,대치동,N,N,N,호텔컬리넌 대치,N,204943.9,443450.24
20030324.0,N,11000000111247,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,라바호텔,N,201657.87,443098.69
20030228.0,N,11000000111303,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,스카이모텔,N,198924.0,452252.01
20030428.0,N,11000000111500,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,라운지호텔(구.첼로모텔),N,210886.78,445428.16
20030410.0,N,11000000111847,Y,서울특별시 강남구 논현동,서울특별시,강남구,논현동,Y,N,N,강남패밀리호텔(운현오피스텔),N,202596.32,445602.7
20030519.0,N,11000000112193,Y,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,Y,N,N,캘리포니아호텔,N,202854.29,443685.08
20030527.0,N,11000000112462,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,MW모텔,N,207735.56,445529.41
20030614.0,N,11000000112575,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,알리앙스 모텔,N,198924.0,452252.01
19811222.0,N,11000000113041,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,누누호텔 B동,N,198924.0,452252.01
19910223.0,N,11000000113042,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,호텔누누(A동),N,198924.0,452252.01
20030703.0,N,11000000113043,Y,서울특별시 중구 을지로6가,서울특별시,중구,을지로6가,Y,N,N,코업레지던스(주)코업,N,200516.4,451720.78
