소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
0.0918,0,0.0,0.693147181,0.1094,0.7,2,16,8.606119401,중위험군,27.88206405,-2.792111313414696,1.5649755826516258
0.3842,12,66.7,0.32202021,0.1094,0.08,1,25,10.10667326,저위험군,19.02164494,-2.4947439274623933,3.528837910343202
0.1867,41,75.6,0.229788094,0.1094,0.85,1,33,10.22110457,중위험군,28.39202443,-0.9095053820299241,4.807458082644903
0.1198,24,79.2,0.869545719,0.1136,0.7,1,22,9.616938172,중위험군,26.97788984,-0.8464103994981942,3.6084616979826616
0.3564,22,86.4,0.780879174,0.1265,0.7,0,17,9.431081039,중위험군,24.5404592,-0.17317638498837296,3.3939942377141334
0.3873,32,81.2,2.688099415,0.1237,0.18,0,13,6.901737207,저위험군,20.97980309,0.5161513525531812,2.689083189860285
0.2685,24,58.3,0.908855753,0.1523,0.7,0,8,6.01615716,중위험군,23.53454044,0.4931589287463228,1.3745415033187016
0.2774,10,50.0,0.816620608,0.1122,0.25,0,25,10.36838441,저위험군,15.04853869,-2.043640887363377,4.04574917528719
0.3287,41,80.5,0.593154776,0.1122,0.85,0,24,9.009080614,중위험군,24.73112452,0.2448460923447373,4.085991513627115
0.1065,2,0.0,0.303995648,0.1422,0.7,2,6,5.726847748,중위험군,28.63818624,-1.9195805251323583,-0.3678143166755149
0.1658,14,57.1,1.31302216,0.4518,0.35,1,6,8.448914351,고위험군,35.59843851,-0.518035389032045,0.8049560880274765
0.1947,26,73.1,2.135152149,0.1422,0.85,1,25,8.869679375,중위험군,34.80159473,-0.3995200785462884,3.823335969429189
0.1153,6,0.0,0.924551449,0.1122,0.7,0,25,9.470008698,중위험군,17.42653706,-2.1633353680285605,3.539008324577743
0.129,0,0.0,2.655688449,0.1408,0.12,2,6,5.958424693,저위험군,26.38587737,-2.100735400702435,0.12939018029219124
0.4244,25,80.0,0.46608973,0.1451,0.85,1,8,8.042378005,중위험군,33.33498353,0.08986232303927791,1.6361037523262645
