구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,cluster,최종위험점수_new,cluster_label
마포구,망원동,밍글스,1994,0.6182,2,50,0,0.413,0.18,37.55243772,126.9003296,191192.7655,450328.7255,2,외국인관광도시민박업,다가구용 주택(공동주택적용),4,4.025351691,1,36.08140022,저위험군
마포구,서교동,나인게스트하우스,2014,0.2337,18,94.4,0.492476485,0.115,0.7,37.55278799,126.928838,193711.8979,450365.3124,1,외국인관광도시민박업,다가구용 주택(공동주택적용),5,4.682131227,0,25.96261061,중위험군
마포구,연남동,유일,1990,0.5653,24,100,0.894413824,0.42,1,37.55896284,126.9243086,193312.2238,451050.9599,1,외국인관광도시민박업,단독주택,3,5.347107531,2,46.52101063,고위험군
마포구,연남동,크래프트맨스하우스,2016,0.5795,29,96.6,1.517466415,0.1122,1,37.55950426,126.9241199,193295.5978,451111.0646,1,외국인관광도시민박업,"근린생활시설,단독주택",4,4.795790546,0,36.52224377,중위험군
마포구,연남동,캐리즈 홈2,2003,0.5567,6,33.3,1.569298745,0.1308,0.7,37.55850027,126.925375,193406.4031,450999.5448,1,외국인관광도시민박업,다세대주택,4,4.454347296,0,30.62687923,중위험군
마포구,성산동,솔루나 하우스,1988,0.341,7,85.7,1.774551897,0.4236,0.7,37.55707604,126.9171992,192683.8802,450842.0771,1,외국인관광도시민박업,단독주택,3,5.365976015,2,41.37424595,고위험군
마포구,서교동,게스 하우스,1991,0.3349,13,61.5,1.008842289,0.4183,0.85,37.55373445,126.9265509,193509.8863,450470.5136,0,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.526360525,2,33.64194634,고위험군
마포구,상수동,와우 하우스,1993,0.378,0,0,0.78845736,0.4148,1,37.5444683,126.9215004,193062.7559,449442.4429,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.583518938,2,44.75259797,고위험군
마포구,성산동,Wish Stay,1994,0.3935,19,73.7,0.606851367,0.413,1,37.56294553,126.905378,191640.0317,451494.507,2,외국인관광도시민박업,다가구용 주택(공동주택적용),4,4.248495242,2,47.89912384,고위험군
마포구,망원동,굿스테이,2001,0.5823,32,93.8,0.989593551,0.1337,0.35,37.55706457,126.9037609,191496.4915,450841.9349,0,외국인관광도시민박업,다가구용 주택(공동주택적용),6,4.615120517,1,21.79772496,저위험군
마포구,동교동,JJ하우스1,1994,0.3687,30,96.7,0.817084082,0.413,0.85,37.55476769,126.9266497,193518.706,450585.1841,2,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.828641396,2,46.99570763,고위험군
마포구,도화동,도화스테이,1990,0.2656,12,50,0.144934025,0.42,0.7,37.538969,126.9515232,195715.6451,448830.296,1,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.713572067,2,34.4013166,고위험군
마포구,노고산동,ISM,1991,0.2056,6,16.7,0.526093096,0.4183,0.12,37.55124052,126.938071,194527.6481,450192.9842,2,외국인관광도시민박업,단독주택,3,4.234106505,1,31.17556579,저위험군
마포구,도화동,레스팅 스테이,2007,0.3165,5,20,0.018182319,0.1251,0.45,37.535708,126.9495876,195544.3846,448468.4548,1,외국인관광도시민박업,단독주택,4,4.477336814,1,19.74164375,저위험군
마포구,연남동,아리아 하우스,1997,0.5653,24,79.2,0.14615628,0.1394,1,37.561434,126.9169165,192659.3271,451325.7812,1,외국인관광도시민박업,연립주택,5,4.343805422,0,34.29737212,중위험군
마포구,성산동,Bang's House,2023,0.4275,29,96.6,0.799491464,0.1022,0.85,37.55876634,126.9163218,192606.5174,451029.749,0,외국인관광도시민박업,다세대주택,5,3.871201011,0,23.87726737,중위험군
마포구,창전동,Dave's 93,2003,0.1384,3,66.7,0.839750655,0.1308,0.7,37.55160016,126.9310755,193909.5183,450233.3301,2,외국인관광도시민박업,단독주택,3,5.010635294,0,31.75813991,중위험군
마포구,서교동,다다스테이,2000,0.228,20,80,0.680440529,0.1351,1,37.55487185,126.9140081,192401.6977,450597.6913,1,외국인관광도시민박업,다세대주택,5,3.988984047,0,31.37293487,중위험군
마포구,연남동,아띠연남,1974,0.4856,22,90.9,0.463837114,0.4483,1,37.55937861,126.9195008,192887.4632,451097.4584,2,외국인관광도시민박업,다가구용 주택(공동주택적용),2,4.672828834,2,51.96116342,고위험군
마포구,서교동,윤스테이,1990,0.0938,3,0,0.208901195,0.42,0.04,37.55028336,126.9135435,192360.1716,450088.4614,2,외국인관광도시민박업,다가구주택,4,4.418840608,1,27.54153734,저위험군
마포구,성산동,해법하우스,1991,0.5624,11,54.5,1.288125769,0.4183,0.7,37.55891793,126.9067295,191758.9965,451047.3715,0,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.891820298,2,34.52397117,고위험군
마포구,성산동,메종 서울,2023,0.5127,10,80,0.722247197,0.1022,0.35,37.55765594,126.906788,191764.0255,450907.3004,0,외국인관광도시민박업,다세대주택,7,3.850147602,1,16.62925958,저위험군
마포구,창전동,258 Inn,1989,0.2481,4,0,0.100083459,0.4218,0.7,37.55054835,126.926845,193535.5993,450116.8743,2,외국인관광도시민박업,"근린생활시설,주택",5,4.8978398,2,38.54095663,고위험군
마포구,상암동,엠마하우스,1997,0.4089,12,91.7,0.366305837,0.1394,0.55,37.57499578,126.8944726,190678.0337,452832.9707,2,외국인관광도시민박업,다가구용단독주택(5가구),3,3.988984047,0,32.95278994,중위험군
마포구,연남동,까사드 연남,1992,0.6925,57,96.5,1.767981739,0.4165,1,37.56204924,126.9249103,193365.6568,451393.4713,0,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.761200116,2,43.64437207,고위험군
마포구,동교동,헤이스테이,1996,0.4275,33,100,1.125109956,0.4095,0.45,37.55553867,126.9239535,193280.5411,450670.943,1,외국인관광도시민박업,단독주택,6,3.688879454,2,36.68380238,고위험군
마포구,동교동,YOUNGSTAY1,1994,0.2715,12,66.7,0.805979711,0.413,0.7,37.55465323,126.9198855,192921.0056,450572.9683,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.891820298,2,42.29732735,고위험군
마포구,대흥동,제로워터 스테이,1974,0.2715,47,80.9,0.74825094,0.4483,1,37.54443198,126.9395048,194653.8517,449437.2357,1,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.663561646,2,43.98004607,고위험군
마포구,도화동,온화당,2001,0.3074,4,75,0.999011572,0.1337,0.45,37.53559198,126.947431,195353.7699,448455.6824,2,외국인관광도시민박업,단독주택,3,3.850147602,1,30.64633672,저위험군
마포구,동교동,Stay U,1991,0.1658,6,33.3,0.550046337,0.4183,0.7,37.55236083,126.9309933,193902.3158,450317.7607,1,외국인관광도시민박업,단독주택,3,4.945847853,2,33.8457349,고위험군
마포구,대흥동,이화당,1970,0.5334,47,59.6,1.774367727,0.4553,1,37.55330268,126.9455243,195186.3881,450421.4515,1,외국인관광도시민박업,단독주택,3,4.927253685,2,49.45115055,고위험군
마포구,합정동,세레노아 합정,2003,0.3842,0,0,0,0.1308,0.18,37.5430541,126.9124777,192265.2494,449286.1878,2,외국인관광도시민박업,다세대주택,5,4.060443011,1,22.08403434,저위험군
마포구,당인동,히든 홍대,1993,0.3595,0,0,0.405465108,0.4148,0.18,37.5437997,126.919366,192874.0645,449368.396,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.931825633,1,32.27343123,저위험군
마포구,성산동,이지멘션1,1993,0.6316,11,81.8,1.503202123,0.4148,0.7,37.56333218,126.9159332,192572.6372,451536.5341,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.970291914,2,42.68117533,고위험군
마포구,서교동,GLOW 스테이,1992,0.3287,11,63.6,1.118612955,0.4165,0.85,37.55372671,126.9267583,193528.2093,450469.6402,0,외국인관광도시민박업,단독주택,6,4.96284463,2,34.31060724,고위험군
마포구,성산동,아우라 스페이스,1994,0.3533,14,100,1.597556585,0.413,0.7,37.55736614,126.9163762,192611.1892,450874.3391,0,외국인관광도시민박업,다가구용 주택(공동주택적용),4,4.219507705,2,34.60517923,고위험군
마포구,도화동,스테이 차,1994,0.3349,1,100,0,0.413,0.45,37.53837671,126.9529927,195845.4894,448764.4931,2,외국인관광도시민박업,다가구용단독주택(5가구),4,3.688879454,2,38.61206267,고위험군
마포구,염리동,스테이 이화 202,1990,0.548,24,12.5,1.323380536,0.42,0.25,37.5529098,126.9461834,195244.6011,450377.813,2,외국인관광도시민박업,주택,3,3.258096538,1,38.59147188,저위험군
마포구,노고산동,시니 하우스,1992,0.1433,8,50,0.268263987,0.1465,0.7,37.5521011,126.9319731,193988.8684,450288.8707,2,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.871201011,0,30.70296119,중위험군
마포구,서교동,Stay CarpeDiem hongdae,1994,0.1556,29,96.6,0.21299118,0.413,0.85,37.55043322,126.9194563,192882.6807,450104.63,1,외국인관광도시민박업,단독주택,6,3.713572067,2,37.14974149,고위험군
마포구,노고산동,스테이 업 데즐링,1989,0.184,21,23.8,0.976009967,0.4218,0.12,37.55075789,126.9376585,194491.1541,450139.4421,1,외국인관광도시민박업,단독주택,5,3.583518938,1,26.60237932,저위험군
마포구,합정동,King kong dae 7,1988,0.2626,26,92.3,2.442347035,0.4236,1,37.54530952,126.9130474,192315.8226,449536.4654,0,외국인관광도시민박업,다세대주택,3,3.688879454,2,40.30855032,고위험군
마포구,합정동,고즈넉,2000,0.3379,0,0,0.068992871,0.1351,0.18,37.54357228,126.9163496,192607.4731,449343.388,2,외국인관광도시민박업,다세대주택,5,4.33073334,1,22.18981829,저위험군
마포구,망원동,코지스테이 망원점,1993,0.548,3,0,0.007017573,0.4148,0.18,37.55122548,126.9019431,191335.1989,450194.0314,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.737669618,1,33.35849099,저위험군
마포구,연남동,seven house,1993,0.4459,17,88.2,1.094231121,0.4148,0.85,37.55805741,126.9208619,193007.6029,450950.7187,1,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.737669618,2,42.02518054,고위험군
마포구,도화동,에이치스테이,2004,0.3014,6,33.3,0.018182319,0.1293,0.45,37.53542613,126.9497177,195555.8657,448437.1646,2,외국인관광도시민박업,다세대주택,4,4.043051268,1,26.30749309,저위험군
마포구,서교동,Sunny Guest House,1990,0.3349,11,45.5,0.654532344,0.42,0.35,37.55341385,126.9262345,193481.898,450434.9527,1,외국인관광도시민박업,단독주택,5,5.153291594,2,31.84622005,고위험군
마포구,신수동,벙커.K,1994,0.2139,12,83.3,0.223143551,0.413,1,37.54651932,126.9374656,194473.7999,449669.0232,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.737669618,2,39.0713025,고위험군
마포구,당인동,민트컨디션,1993,0.3749,0,0,0,0.4148,0.18,37.54346019,126.9193624,192873.7158,449330.7148,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.583518938,1,31.33260655,저위험군
마포구,합정동,더마포,2007,0.4213,0,0,0.068992871,0.1251,0.18,37.54237489,126.9122201,192242.4092,449210.8249,2,외국인관광도시민박업,다세대주택,5,3.737669618,1,22.07706862,저위험군
마포구,성산동,얼바닉 스테이,1994,0.3014,23,100,0.788815206,0.5478,0.85,37.55595572,126.9125404,192272.1155,450718.1077,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.17805383,2,44.14828235,고위험군
마포구,연남동,마루_연남,2022,0.6729,15,93.3,0.271152771,0.1036,0.25,37.56297014,126.9212497,193042.322,451495.945,0,외국인관광도시민박업,단독주택,5,4.882801923,1,16.99938855,저위험군
마포구,성산동,라라 하우스,1983,0.3441,21,100,1.123240883,0.1594,1,37.55721625,126.9161138,192587.9849,450857.7238,1,외국인관광도시민박업,단독주택,5,4.543294782,0,36.6999007,중위험군
마포구,연남동,수리르스테이,1994,0.3718,4,25,0.744276527,0.1436,0.12,37.55732438,126.9188253,192827.5805,450869.5145,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.828641396,1,18.92007636,저위험군
마포구,연남동,수림,2002,0.5363,19,89.5,0.768893155,0.1322,0.55,37.55939966,126.922284,193133.3732,451099.5878,2,외국인관광도시민박업,다세대주택,4,3.496507561,0,34.60662346,중위험군
마포구,공덕동,연스테이,1996,0.1735,25,84,2.077124044,0.4095,0.45,37.54663144,126.960726,196529.3434,449680.3542,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.688879454,2,35.40161129,고위험군
마포구,도화동,CNI Company,2002,0.3349,6,83.3,0.221307004,0.1322,0.25,37.53515511,126.9477836,195384.9106,448407.1778,1,외국인관광도시민박업,단독주택,3,3.526360525,1,20.3977127,저위험군
강서구,등촌동,HOmestay in Seoul,1995,0.2223,11,36.4,2.109090236,0.1422,0.04,37.55889289,126.840328,185892.0277,451052.4866,0,외국인관광도시민박업,아파트,16,9.368071207,1,16.08038742,저위험군
강서구,방화동,스카이빌하우스,2002,0.4367,19,94.7,0.311779624,0.1322,1,37.5674918,126.8088323,183111.1286,452012.0594,1,외국인관광도시민박업,공동주택,17,8.95140082,0,35.04752387,중위험군
강서구,염창동,블랙션샤인,2020,0.5186,22,72.7,0,0.1065,0.12,37.54838569,126.8646689,188041.0087,449882.9371,1,외국인관광도시민박업,공동주택,17,3.258096538,1,17.85442485,저위험군
강서구,화곡동,서울 메이트(Seoul Mate),2019,0.3718,23,82.6,1.748274357,0.1079,0.85,37.52953479,126.8423549,186065.648,447793.7881,1,외국인관광도시민박업,공동주택,6,3.258096538,0,31.13328893,중위험군
강서구,방화동,STAY HARI(스테이 하리),2017,0.5363,46,97.8,1.13061502,0.1108,1,37.56551779,126.8152159,183674.6593,451791.8391,1,외국인관광도시민박업,단독주택(다가구주택),6,3.850147602,0,35.01459023,중위험군
강서구,공항동,THANK YOU STAY,1990,0.4182,0,0,0.009804,0.42,0.04,37.55444927,126.81041,183247.5902,450564.2083,2,외국인관광도시민박업,단독주택,4,3.63758616,1,30.27317236,저위험군
강서구,가양동,온더하우스,1993,0.1408,5,60,0.312598424,0.1451,0.7,37.55597212,126.8627488,187872.5653,450725.1866,1,외국인관광도시민박업,아파트,16,3.526360525,0,24.98031601,중위험군
강서구,화곡동,서울의 밤,2022,0.5739,24,87.5,0.592503655,0.1036,0.7,37.53308137,126.8515273,186877.0233,448186.0956,1,외국인관광도시민박업,다세대주택,5,3.433987204,0,28.38064628,중위험군
강서구,공항동,Stay Serendipity,1996,0.3441,12,41.7,1.146698475,0.4095,0.85,37.5558778,126.812004,183388.7562,450722.4754,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.713572067,2,38.70807354,고위험군
강서구,화곡동,더 화곡 스테이(The Hwagok Stay),1991,0.1658,25,84,1.506438673,0.4183,1,37.54281466,126.8411661,185963.0612,449267.8689,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.784189634,2,42.30082087,고위험군
강서구,공항동,센티멘탈 버스,2002,0.4795,9,88.9,0.332240919,0.1322,0.04,37.55765102,126.8089697,183121.0456,450919.8226,1,외국인관광도시민박업,다가구용 주택(공동주택적용),5,3.295836866,1,19.51888209,저위험군
강서구,공항동,온기,2002,0.3135,2,0,0,0.1322,0.04,37.55195845,126.8144999,183608.4399,450287.0356,2,외국인관광도시민박업,다가구용 주택(공동주택적용),5,3.433987204,1,19.26592712,저위험군
강서구,방화동,컴포홈,2018,0.5304,29,89.7,0.491120553,0.1094,1,37.56748202,126.8124535,183431.0465,452010.3293,1,외국인관광도시민박업,다세대주택,6,3.951243719,0,32.69966703,중위험군
강서구,등촌동,스테이 등촌,1996,0.2774,3,0,0.018349139,0.1408,0.04,37.55246999,126.8587784,187521.1554,450337.0113,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.583518938,1,19.66462203,저위험군
강서구,방화동,제니스하우스,2014,0.2804,4,75,1.976787388,0.115,0.18,37.5748683,126.8178945,183913.3236,452829.1762,2,외국인관광도시민박업,다세대주택,5,3.688879454,1,27.38746269,저위험군
강서구,공항동,고요하우스 공항동,1994,0.3811,33,87.9,0.930960922,0.413,0.85,37.55668286,126.811193,183317.2751,450811.9712,1,외국인관광도시민박업,단독주택,3,3.465735903,2,40.96576469,고위험군
강서구,화곡동,Dana Stay,2001,0.1531,26,76.9,1.375599072,0.1337,1,37.54287256,126.8414946,185992.1032,449274.2461,0,외국인관광도시민박업,다세대주택,4,4.007333185,0,26.0999262,중위험군
강서구,방화동,에어포트 게스트하우스,1988,0.5538,44,100,0.563094052,0.4236,1,37.56569175,126.8146216,183622.1973,451811.25,1,외국인관광도시민박업,"주택, 근린생활시설",4,5.771565726,2,46.37037626,고위험군
강서구,공항동,드림하우스,2021,0.4398,5,20,0,0.105,0.04,37.5553957,126.8097598,183190.3529,450669.3669,2,외국인관광도시민박업,다세대주택,6,3.36729583,1,19.29602462,저위험군
강서구,공항동,하우스공감 스테이,2022,0.4398,1,0,0,0.1036,0.04,37.55474504,126.8098202,183195.5464,450597.1405,2,외국인관광도시민박업,다세대주택,6,3.401197382,1,18.32285068,저위험군
강서구,화곡동,WON STAY,2021,0.1581,18,77.8,0,0.105,0.45,37.52982443,126.8364163,185540.7887,447826.831,0,외국인관광도시민박업,다세대주택,6,3.36729583,0,12.49135168,중위험군
강서구,등촌동,어반 아뜰리에(Urban Atelier),2022,0.6369,0,0,0,0.1036,0.7,37.54240912,126.8610881,187723.6008,449220.0712,2,외국인관광도시민박업,다세대주택,6,3.401197382,0,29.70617775,중위험군
강서구,화곡동,화곡동 하우스(Hwagok-dong House),2003,0.3966,27,100,0,0.1308,0.04,37.52763269,126.8577205,187423.5054,447580.513,1,외국인관광도시민박업,다세대주택,5,4.33073334,1,18.84265243,저위험군
강서구,공항동,에어포트 스테이 서울,1992,0.3135,13,84.6,0.288912842,0.4165,0.45,37.5553479,126.8127287,183452.6732,450663.5349,1,외국인관광도시민박업,단독주택,4,3.737669618,2,32.94273602,고위험군
강서구,염창동,유오스테이,2018,0.6101,11,9.1,0.015873349,0.1094,0.04,37.54834791,126.8693837,188457.6449,449878.1547,1,외국인관광도시민박업,다세대주택,6,3.80666249,1,15.38552534,저위험군
강서구,등촌동,히트코지,1978,0.3595,24,91.7,0.738403772,0.4412,0.45,37.55293291,126.8538363,187084.5327,450389.0575,1,외국인관광도시민박업,단독주택,3,4.262679877,2,36.96115345,고위험군
강서구,공항동,플라이 서울,1994,0.4336,1,0,0.019512814,0.413,0.04,37.55381292,126.8102038,183229.2337,450493.6177,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.891820298,1,30.06912257,저위험군
강서구,마곡동,트라세움,2018,0.6101,15,73.3,0.4507217,0.1094,1,37.56965891,126.8224524,184314.8615,452250.2231,1,외국인관광도시민박업,다세대주택,10,4.234106505,0,32.70634673,중위험군
강서구,방화동,문문스테이,2002,0.5767,11,36.4,1.040018124,0.1322,0.45,37.56198222,126.8086221,183091.3113,451400.5977,0,외국인관광도시민박업,다세대주택,3,4.060443011,0,20.24005342,중위험군
강서구,화곡동,Stay #101,1992,0.4244,25,100,0.734819877,0.4165,0.04,37.54275653,126.834733,185394.521,449262.397,1,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.784189634,1,30.33644322,저위험군
