승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
2018,0.3842,12,66.7,0.32202021,0.1094,0.08,25,10.10667326,저위험군,19.02164494,-4.231435172502088,-0.8692223812081274
2018,0.1867,41,75.6,0.229788094,0.1094,0.85,33,10.22110457,중위험군,28.39202443,-3.6683024467716723,-3.0796956690631196
2015,0.1198,24,79.2,0.869545719,0.1136,0.7,22,9.616938172,중위험군,26.97788984,-2.902724279101725,-2.079882866525452
2006,0.3564,22,86.4,0.780879174,0.1265,0.7,17,9.431081039,중위험군,24.5404592,-2.3040363730409554,-1.8164902337350062
2008,0.3873,32,81.2,2.688099415,0.1237,0.18,13,6.901737207,저위험군,20.97980309,-1.4459437143066631,-1.630738430109079
1988,0.2685,24,58.3,0.908855753,0.1523,0.7,8,6.01615716,중위험군,23.53454044,-0.3833833459562199,-0.6062945856424797
2016,0.2774,10,50.0,0.816620608,0.1122,0.25,25,10.36838441,저위험군,15.04853869,-4.168490040634588,-0.8273345616536463
2016,0.3287,41,80.5,0.593154776,0.1122,0.85,24,9.009080614,중위험군,24.73112452,-2.604681088758363,-2.878602796504917
1995,0.1065,2,0.0,0.303995648,0.1422,0.7,6,5.726847748,중위험군,28.63818624,-1.157686011207741,1.1029938996516986
1972,0.1658,14,57.1,1.31302216,0.4518,0.35,6,8.448914351,고위험군,35.59843851,-0.026206851003802545,0.7392304575691723
1995,0.1947,26,73.1,2.135152149,0.1422,0.85,25,8.869679375,중위험군,34.80159473,-2.1698532109171165,-2.1861613158772633
2016,0.1153,6,0.0,0.924551449,0.1122,0.7,25,9.470008698,중위험군,17.42653706,-3.9611210845231017,-0.42905862053491395
1996,0.129,0,0.0,2.655688449,0.1408,0.12,6,5.958424693,저위험군,26.38587737,-1.4239473318880722,1.2955394140787566
1993,0.4244,25,80.0,0.46608973,0.1451,0.85,8,8.042378005,중위험군,33.33498353,-0.8505619194583841,-1.3212747274156504
1996,0.2112,8,75.0,2.502938152,0.1408,0.12,29,10.15653936,저위험군,25.80159582,-3.621551838136784,-1.0417866856407385
2017,0.122,25,48.0,0.693147181,0.1108,0.25,22,10.15069913,저위험군,19.01522831,-3.60012456646123,-1.1402393221980283
1987,0.1482,0,0.0,2.978187964,0.1536,0.12,6,6.907755279,저위험군,28.7644162,-1.3677599484820806,1.3338657869416484
1976,0.1001,9,66.7,1.850779648,0.1694,0.08,17,8.795127912,저위험군,17.83843873,-1.9079977509401356,0.13646343966113061
1963,0.1086,1,100.0,1.541065966,0.4676,0.7,3,5.123963979,고위험군,41.77523918,1.5714270052305128,0.577323558921175
1963,0.1108,1,100.0,1.491437462,0.4676,0.12,3,5.634789603,저위험군,33.749347,1.035774828214434,1.2626397928234363
2017,0.4182,29,65.5,0.693147181,0.1108,0.85,22,7.994969523,중위험군,24.63283303,-2.5790089145113324,-2.1974198280344313
2018,0.2452,23,60.9,0.205049808,0.1094,0.85,15,8.70417056,중위험군,27.35952845,-2.376742076648461,-1.6284169733745657
