승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
1970,0.3502,2,0.0,0.071458964,0.178,0.35,10,8.750683035,저위험군,29.88759052,-1.8423305688625033,1.6989546253147718
2021,0.0818,4,0.0,0.490944253,0.105,0.12,9,8.062117583,저위험군,12.62878381,-3.0149438244094107,0.93354146296407
1931,0.0858,32,65.6,0.366918978,0.6692,0.25,3,4.9698133,고위험군,34.04461661,2.8317449193998496,1.773109905371945
1967,0.1867,2,0.0,0.026668247,0.1823,0.45,6,4.96284463,저위험군,28.29292059,-0.4246413985442024,2.069916097496788
1989,0.078,3,0.0,0.038614836,0.1509,0.04,8,3.761200116,저위험군,18.44214096,-1.1393853279551245,2.140184707849089
1998,0.2834,27,74.1,0.693147181,0.138,0.7,6,5.752572639,중위험군,22.59554452,-0.3198681040588218,-1.016923172619037
2024,0.3656,2,0.0,1.062022841,0.1011,0.7,15,7.043430622,중위험군,30.53976772,-2.9801394130756003,-0.08938332018287343
2025,0.2139,73,79.5,0.02813125,0.1,1.0,6,6.033709529,중위험군,28.47413329,-0.07181478722541855,-3.3831886366414547
2024,0.0706,4,0.0,0.264784108,0.1011,0.7,12,7.052314392,중위험군,25.39347081,-2.7034312516056356,0.19705973545429883
1968,0.129,0,0.0,1.445562683,0.1808,0.08,7,6.660754391,저위험군,26.39627143,-1.0505647035362895,2.111859473865231
2022,0.0838,9,11.1,0.51213624,0.1036,1.0,20,9.930372881,중위험군,26.2215444,-3.5524213200558576,-0.9570392434907212
1954,0.078,7,42.9,1.166888057,0.2009,0.45,7,7.147094962,저위험군,33.98173341,-0.1250500210501756,1.1240415580715761
1993,0.1408,0,0.0,2.677441573,0.4148,0.85,5,6.045005314,고위험군,45.54906612,-0.09205996366525517,0.8836645233892444
1990,0.2112,0,0.0,0.019257817,0.42,0.25,5,6.284134161,저위험군,31.95824836,-0.8134393693396097,2.255805513196054
2020,0.1735,2,0.0,0.40755935,0.1065,0.08,29,9.931637596,저위험군,7.805893001,-5.083117483291069,0.3317671660877614
1976,0.1787,42,64.3,0.608708861,0.1694,0.25,6,5.402677382,저위험군,17.2235547,0.31561965421987503,-0.30353196415495665
1990,0.2029,47,89.4,1.431954845,0.1494,1.0,5,5.247024072,중위험군,29.39322227,0.9036126468587743,-2.1945545977505594
2020,0.129,12,41.7,0.028536307,0.1065,0.08,23,6.059123196,저위험군,18.76137306,-3.271090497445267,-0.07031830010566009
2019,0.3471,27,63.0,0.593396778,0.1079,1.0,13,6.442540166,중위험군,30.69696404,-1.5061263166507248,-1.898482003843642
1986,0.1607,0,0.0,2.088099604,0.4272,0.85,3,5.572154032,고위험군,45.03249828,0.3029589311182595,1.2518459299564528
2018,0.0918,0,0.0,0.693147181,0.1094,0.7,16,8.606119401,중위험군,27.88206405,-3.249739842880105,0.12013244835327776
