사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부
20191114," ""N""          "," ""11000000324778"""," ""Y""      "," ""서울특별시 영등포구 영등포동1가"""," ""서울특별시"""," ""영등포구"""," ""영등포동1가"""," ""Y""     "," ""N""           "," ""N""    "," ""토요코인 호텔""                                     "," ""N"""
20191125," ""N""          "," ""11000000324784"""," ""N""      "," ""서울특별시 송파구 가락동""       "," ""서울특별시"""," ""송파구""  "," ""가락동""     "," ""N""     "," ""N""           "," ""N""    "," ""XYM호텔""                                           "," ""N"""
20191219," ""N""          "," ""11000000325171"""," ""Y""      "," ""서울특별시 송파구 방이동""       "," ""서울특별시"""," ""송파구""  "," ""방이동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔더캐슬 #1""                                     "," ""N"""
20200123," ""N""          "," ""11000000325478"""," ""Y""      "," ""서울특별시 마포구 동교동""       "," ""서울특별시"""," ""마포구""  "," ""동교동""     "," ""Y""     "," ""N""           "," ""N""    "," ""머큐어앰배서더홍대(판매+숙박)""                     "," ""N"""
20200120," ""N""          "," ""11000000325505"""," ""Y""      "," ""서울특별시 중구 을지로6가""      "," ""서울특별시"""," ""중구""    "," ""을지로6가""  "," ""Y""     "," ""N""           "," ""N""    "," ""을지로43길 9-8 건물""                               "," ""N"""
20190325," ""N""          "," ""11000000325829"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""방배동 454-7 건물""                                 "," ""N"""
20190117," ""N""          "," ""11000000325830"""," ""N""      "," ""서울특별시 서초구 내곡동""       "," ""서울특별시"""," ""서초구""  "," ""내곡동""     "," ""N""     "," ""N""           "," ""N""    "," ""한울""                                              "," ""N"""
20190702," ""N""          "," ""11000000325831"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""방배동 895-12 건물""                                "," ""N"""
20190128," ""N""          "," ""11000000325832"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""행복이 가득한 집""                                  "," ""N"""
20190430," ""N""          "," ""11000000325878"""," ""N""      "," ""서울특별시 서초구 신원동""       "," ""서울특별시"""," ""서초구""  "," ""신원동""     "," ""N""     "," ""N""           "," ""N""    "," ""신원동 6-9 건물""                                   "," ""N"""
20191121," ""N""          "," ""11000000325884"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""Santiago""                                          "," ""N"""
20200615," ""N""          "," ""11000000326080"""," ""Y""      "," ""서울특별시 중구 남대문로5가""    "," ""서울특별시"""," ""중구""    "," ""남대문로5가"""," ""Y""     "," ""N""           "," ""N""    "," ""라움169호텔""                                       "," ""N"""
20200611," ""N""          "," ""11000000326696"""," ""N""      "," ""서울특별시 종로구 관수동""       "," ""서울특별시"""," ""종로구""  "," ""관수동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔케이월드""                                      "," ""N"""
20200429," ""N""          "," ""11000000326736"""," ""Y""      "," ""서울특별시 영등포구 양평동3가""  "," ""서울특별시"""," ""영등포구"""," ""양평동3가""  "," ""Y""     "," ""N""           "," ""N""    "," ""서울호스텔(서울H)""                                 "," ""N"""
20200529," ""N""          "," ""11000000327109"""," ""Y""      "," ""서울특별시 영등포구 영등포동2가"""," ""서울특별시"""," ""영등포구"""," ""영등포동2가"""," ""Y""     "," ""N""           "," ""N""    "," ""호텔바모스""                                        "," ""N"""
20200601," ""N""          "," ""11000000327155"""," ""Y""      "," ""서울특별시 강남구 신사동""       "," ""서울특별시"""," ""강남구""  "," ""신사동""     "," ""Y""     "," ""N""           "," ""N""    "," ""안테룸서울호텔""                                    "," ""N"""
20230228," ""N""          "," ""11000000327193"""," ""Y""      "," ""서울특별시 용산구 한강로3가""    "," ""서울특별시"""," ""용산구""  "," ""한강로3가""  "," ""Y""     "," ""N""           "," ""N""    "," ""나인트리 프리미어 로카우스 호텔""                   "," ""N"""
20210617," ""N""          "," ""11000000327372"""," ""Y""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""Y""     "," ""N""           "," ""N""    "," ""(준타워)힐튼가든인서울강남점""                      "," ""N"""
20200720," ""N""          "," ""11000000327413"""," ""Y""      "," ""서울특별시 중구 필동1가""        "," ""서울특별시"""," ""중구""    "," ""필동1가""    "," ""Y""     "," ""N""           "," ""N""    "," ""G3호텔""                                            "," ""N"""
