구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,bw_intercept,coef_구조노후도,bw_구조노후도,coef_도로폭위험도,bw_도로폭위험도,coef_단속위험도,bw_단속위험도
중구,예장동,오리엔스 호텔 앤 레지던스,0,중위험군,37.55730627,126.9904925,199159.9336,450864.45,33.22216427,3.088887909601894,30.103977724617483,43.0,1.355309152295759,1463.0,2.8242872282314817,1464.0,0.7493395124598411,55.0
중구,충무로2가,이비스 스타일 앰배서더 서울 명동,0,중위험군,37.55893191,126.9885713,198990.2034,451044.8957,24.77247229,-0.8611726961552257,28.572906174533664,43.0,1.3551164287859763,1463.0,2.8216902826897168,1464.0,1.8081400677756816,55.0
중구,충무로3가,홉인 서울 명동 (HOP INN SEOUL MYEONGDONG),0,중위험군,37.56058087,126.9920256,199295.4337,451227.8792,28.39292284,-0.8286870641879212,29.131449237011537,43.0,1.3549135990911636,1463.0,2.8231406451060566,1464.0,1.4410091354526453,55.0
중구,오장동,모닝스카이호텔,0,중위험군,37.5613481,126.9991104,199921.3976,451313.0031,31.89403129,0.5664336571165087,27.693708149223145,43.0,1.3549153312151831,1463.0,2.827824309573832,1464.0,2.004994876303693,55.0
중구,예장동,하센영인호텔,0,중위험군,37.55378191,126.9924151,199329.785,450473.2726,30.41615646,0.07857191738866831,31.331313630517418,43.0,1.3556923757066361,1463.0,2.82817780314948,1464.0,-0.00026975924809822,55.0
중구,남대문로5가,호텔마누,0,중위험군,37.55439108,126.9741021,197711.6305,450541.1714,38.22066044,3.9529484165417372,28.57662181705046,43.0,1.3605454221454087,1463.0,2.8278681884912533,1464.0,1.6859445518068923,55.0
중구,명동,나인트리 바이 파르나스 서울 명동Ⅰ,0,중위험군,37.55883796,126.9852377,198695.6585,451034.5094,33.18618211,3.1282391701314367,27.740771571194156,43.0,1.3556959587578683,1463.0,2.821959291658149,1464.0,3.7785711111680595,55.0
중구,명동,더 그랜드호텔 명동,0,중위험군,37.55890463,126.986388,198797.299,451041.8936,30.20916083,3.9908218001973452,27.817842648478475,43.0,1.3551593365019492,1463.0,2.821425901846115,1464.0,3.5587231522874667,55.0
중구,북창동,클라벤 호텔 명동 시티홀,0,중위험군,37.56046238,126.977322,197996.3031,451214.94,23.11147021,-3.1957008383096657,28.618275115033512,43.0,1.3592281279151652,1463.0,2.824264331735017,1464.0,3.6218150915558343,55.0
중구,(남산동,퍼시픽호텔,0,중위험군,37.556976,126.9846542,198644.069,450827.8622,31.61153998,2.6253443189677945,29.582669206199796,43.0,1.3559656877400883,1463.0,2.8226446957494202,1464.0,0.9542727015287439,55.0
중구,태평로2가,플라자호텔,0,중위험군,37.56192055,126.9771259,197979.0216,451376.7839,39.03803173,-0.6665436959239202,28.25458585161693,43.0,1.3592249389505189,1463.0,2.8240248659717193,1464.0,3.6802078572561996,55.0
중구,(장충동,호텔신라,0,중위험군,37.55399997,127.0052469,200463.6251,450497.4605,43.22447024,3.6014276492902297,30.381695052244254,43.0,1.3556495806977333,1463.0,2.836671635866013,1464.0,1.4315546870915188,55.0
중구,북창동,서울호텔신신,0,중위험군,37.55958613,126.9779037,198047.6741,451117.6744,20.72454379,-3.298396514412662,28.808030463172514,43.0,1.3590648936933962,1463.0,2.824128063032273,1464.0,3.55112026406145,55.0
중구,오장동,스카이파크호텔 동대문1호점,0,중위험군,37.56144741,127.0012903,200114.0,451324.0258,24.89395184,-2.5011264155701234,28.765457488864932,43.0,1.3549467409277132,1463.0,2.829295270451167,1464.0,1.7166979134655325,55.0
중구,예관동,뉴 블랑 센트럴 명동,0,중위험군,37.56140326,126.9978745,199812.2048,451319.127,31.78995525,2.9539533207392346,27.354938849902368,43.0,1.3548867591636438,1463.0,2.826904600869047,1464.0,2.047466321838759,55.0
중구,오장동,베이튼호텔,0,중위험군,37.56253058,127.001946,200171.9359,451444.2459,24.93737925,-4.681264446682153,29.20647942840659,43.0,1.3548455265519854,1463.0,2.829071654204378,1464.0,1.507268856311849,55.0
중구,(광희동,맹그로브 동대문,0,중위험군,37.56137967,127.0079357,200701.1421,451316.5363,31.92199628,1.7118495639114641,28.83573431880898,43.0,1.3551005019426232,1463.0,2.8337954742908558,1464.0,0.46206224465989776,55.0
중구,을지로1가,프레지던트호텔,0,중위험군,37.56288054,126.9786463,198113.3706,451483.2999,42.77342793,-0.8447238600643203,27.671070814668234,43.0,1.3586840498164126,1463.0,2.822840740485687,1464.0,3.7436231458577867,55.0
중구,(남산동,서울프린스호텔,0,중위험군,37.55792308,126.9854887,198717.8246,450932.9651,34.54731476,3.7465660795725455,28.32088850084959,43.0,1.3554887304999081,1463.0,2.8220484186570247,1464.0,2.034311202964629,55.0
중구,소공동,(주)조선호텔앤리조트,0,중위험군,37.56168836,126.9793119,198172.1507,451350.9688,41.10594286,6.769791580850253,27.600361792798008,43.0,1.3584826359829747,1463.0,2.822730616715922,1464.0,3.775464900246603,55.0
중구,(광희동,토요코인 서울 동대문 Ⅱ,0,중위험군,37.56177049,127.0070799,200625.5246,451359.9066,31.80221544,1.0985587846860305,29.136569902554648,43.0,1.3550442455628113,1463.0,2.833004668986286,1464.0,0.6824742294054834,55.0
중구,명동,호텔베르,0,중위험군,37.56182034,126.9823578,198441.2703,451365.5621,28.74690939,-3.5183969537879918,27.388021320357005,43.0,1.3573120568527728,1463.0,2.8216722964844276,1464.0,3.988738545948099,55.0
중구,명동,호스텔아라,0,중위험군,37.56201257,126.9837489,198564.1794,451386.8752,27.77990965,2.567811096635399,27.58439260939728,43.0,1.3566379038794676,1463.0,2.8220341761537866,1464.0,4.074605084851503,55.0
중구,명동,블루닷 포쉬텔,0,중위험군,37.56041505,126.9850463,198678.7741,451209.5503,31.17914216,0.48999615001246255,27.639456272864727,43.0,1.3558820877564663,1463.0,2.821712479914868,1464.0,4.068730402425647,55.0
용산구,서계동,mingle stay,0,중위험군,37.5517128,126.9665819,197047.0252,450244.124,34.0789909,3.416439670425614,27.60166539229191,43.0,1.3623752857107445,1463.0,2.833446329465654,1464.0,1.1761759621377539,55.0
