구,동,숙소명,승인연도,위험도점수,위험점수_AHP,사각지대_위험도점수,fire_count_150m,target_damage_sum_천원,예상_화재발생확률,기대피해액_백만원,주변건물수,집중도,도로폭위험도,단속위험도,구조노후도
마포구,상암동,플레이스공백,2017,43.13547650688576,41.04,43.13547650688576,1,262.0,0.3193116247343443,0.0662466214369109,2,100.0,0.55,0.0091743762760412,0.1108
마포구,연남동,CARRIE'S HOME,1970,43.13332252446072,92.0,43.13332252446072,20,18372.0,0.0850662784952197,0.0108436171251564,44,97.7,1.0,0.1318907031670627,0.4553
마포구,서교동,홀리데이 게스트하우스,2003,43.10001217129823,33.02,43.10001217129823,13,204161.0,0.6562405152459011,0.087657703121502,25,100.0,0.85,1.0608719606852626,0.1308
마포구,서교동,365 Stay,1996,43.09227386648998,16.77,43.09227386648998,13,32655.0,0.5071511849916743,0.0948538058037301,4,75.0,0.12,0.6333113889492803,0.1408
마포구,동교동,아린 하우스,1993,43.08219885554477,51.42,43.08219885554477,7,8784.0,0.434293777997173,0.0651703332689622,17,82.4,0.18,0.6945351058347934,0.4148
마포구,서교동,에이블게스트하우스2,1997,43.07973555600571,45.72,43.07973555600571,4,2760.0,0.4569876503658865,0.0652881238005468,27,92.6,0.85,0.5978370007556204,0.1394
마포구,서교동,이프스테이,1997,43.04536986893434,44.3,43.04536986893434,4,14735.0,0.452055428790849,0.0642624404596084,23,95.7,0.85,0.3064443489073039,0.1394
마포구,서교동,룩스 게스트하우스,1991,43.03414733293975,20.69,43.03414733293975,0,0.0,0.3945097597155205,0.0747165663715701,18,90.0,0.7,0.0200006667066695,0.148
마포구,연남동,MINT HOUSE(박하집),1970,43.02488988334297,69.71,43.02488988334297,4,3443.0,0.2373958653648412,0.0560687376571055,2,91.3,0.35,0.0032733253449691,0.178
마포구,성산동,JY HOUSE,2002,43.01625114238277,44.37,43.01625114238277,4,569.0,0.4310867462452076,0.0625475494998282,24,100.0,0.85,0.8744840006913605,0.1322
마포구,서교동,써니하우스,1990,43.01247815014023,47.84,43.01247815014023,23,39358.0,0.5416337373858607,0.074072592206194,16,100.0,0.25,1.6144757064640576,0.42
마포구,노고산동,스테이 올리브,1994,43.00207207207207,43.57,43.00207207207207,1,3.0,0.2625627960617652,0.0458964170900369,5,100.0,0.12,0.0,0.5478
마포구,상암동,엠마하우스,1997,42.96917412345833,53.14,42.96917412345833,4,4622.0,0.3391463300571247,0.0561753675894301,12,91.7,0.55,0.3663058369996936,0.1394
마포구,서교동,제니수빈하우스,1996,42.91174330255899,45.69,42.91174330255899,5,2043.0,0.4611221293655471,0.0651119683026365,23,95.7,0.85,0.2371859084372486,0.1408
마포구,서교동,라미하우스,2019,42.90725815444021,24.25,42.90725815444021,11,1075.0,0.611084996499184,0.1024820824030206,10,70.0,0.12,1.1763212729954258,0.1079
마포구,상암동,조선캄,2004,42.87421099133681,42.99,42.87421099133681,7,3568.0,0.5537321394971608,0.1007169335726748,13,61.5,0.12,0.6531888682583419,0.1293
마포구,연남동,블루 스테이,2008,42.86996111303622,70.55,42.86996111303622,12,15014.0,0.1903400340853773,0.0311173931039675,32,84.4,0.85,0.5749542248322346,0.1237
마포구,서교동,몽이하우스,1976,42.85569819992888,19.09,42.85569819992888,8,9315.0,0.2818050276701436,0.0500059385881351,4,90.0,0.04,0.1797931104405959,0.4447
마포구,공덕동,서울역 홍대 스테이,1996,42.81495148218573,43.38,42.81495148218573,5,69564.0,0.7874956175386595,0.0781175830124123,57,89.5,1.0,1.3955110162248148,0.4095
마포구,연남동,무야스튜디오,1998,42.75112326280265,58.01,42.75112326280265,7,10565.0,0.3632511614563545,0.0541646117741567,32,90.6,0.85,0.9779562775080012,0.138
마포구,합정동,에이치 스테이,1991,42.68968468468468,50.03,42.68968468468468,1,23465.0,0.2820708196647684,0.0536812640786197,2,100.0,0.18,0.0,0.4183
마포구,서교동,바이 리틀 클라우드,2009,42.65405321102384,13.28,42.65405321102384,12,7022.0,0.5191583158902136,0.0837125379299423,11,63.6,0.12,0.5198754592859086,0.1222
마포구,서교동,나인게스트하우스,2014,42.65327649813464,35.05,42.65327649813464,4,1883.0,0.500437471472686,0.0739454478640553,18,94.4,0.7,0.4924764850977941,0.115
마포구,서교동,정원스테이 1,1997,42.63791109432529,47.84,42.63791109432529,4,2760.0,0.4585219899313287,0.0649395283991593,25,96.0,0.85,0.4320447459128764,0.1394
마포구,서교동,홍대 센트럴 스테이,1990,42.63771874808455,49.6,42.63771874808455,6,3138.0,0.4526378340270256,0.0636481495583598,23,100.0,0.85,0.4418327522790392,0.1494
마포구,서교동,Check in H,2024,42.62060128407613,31.08,42.62060128407613,5,2050.0,0.4948779471663713,0.0710800443266498,26,88.5,0.85,0.1670540846631661,0.1011
마포구,연남동,만두 게스트하우스,1993,42.61653619424012,68.53,42.61653619424012,8,1394.0,0.293341820474974,0.0419560649418012,28,96.4,0.55,0.8364665795506308,0.4148
마포구,망원동,호시간,1984,42.61273295445864,67.87,42.61273295445864,0,0.0,0.2727430192695955,0.0552551985177197,3,100.0,0.18,0.0139862419747398,0.4307
마포구,합정동,Artravel Hongdae Apartment,1993,42.61078574904949,31.83,42.61078574904949,1,866.0,0.270065691586285,0.0512040719730974,12,90.6,0.25,0.0689928714869514,0.4148
마포구,합정동,스테이 헤리티지 합정,1996,42.55652084521783,24.42,42.55652084521783,5,5650.0,0.4071748731171183,0.0754084900367806,12,90.6,0.12,0.9444616088408514,0.4095
