TOT_OA_CD,전체건물수
11040710010101,32
11040710010104,30
11040710010105,69
11040710010106,44
11040710010701,2
11040710010702,6
11040710010704,31
11040710010706,3
11040710010707,5
11040710010709,9
11040710010901,9
11040710010902,13
11040710010903,4
11040710010904,4
11040710010905,7
11040710011001,47
11040710011002,19
11040710011003,47
11040710011004,69
11040710011005,33
11040710011006,6
11040710011007,9
11040710011008,2
11040710011009,51
11040710011010,24
11040710011011,34
11040710011012,65
11040710011013,21
11040710011101,2
11040710011102,4
11040720010001,61
11040720010002,101
11040720010003,172
11040720010004,147
11040720010005,68
11040720010006,127
11040720010007,133
11040720010008,49
11040720010009,90
11040720010010,78
11040720010011,43
11040720010012,61
11040720010013,104
11040720010014,82
11040720010015,56
11040720010016,58
11040720010017,61
11040720010018,47
11040720010019,14
11040720010101,5
11040720010102,4
11040720010103,2
11040720010104,3
11040720010105,2
11040720010106,5
11040720010201,13
11040720010202,3
11040720010301,10
11040720010302,10
11040720010401,6
11040720010501,5
11040720010502,7
11040720010503,13
11040720010504,7
11040720010505,7
11040720010601,3
11040720010801,99
11040720010802,52
11040720010803,90
11040720010804,96
11040720010805,73
11040730010001,76
11040730010002,102
11040730010003,52
11040730010004,66
11040730010005,62
11040730010006,3
11040730010101,4
11040730010102,2
11040730010103,2
11040730010201,3
11040730010202,4
11040730010203,3
11040730010204,3
11040730010301,4
11040730010302,3
11040730010303,6
11040730010401,3
11040730010402,11
11040730010403,7
11040730010404,3
11040730010405,5
11040730010406,8
11040730010504,8
11040730010507,8
11040730010508,11
11040730010801,4
11040730010802,4
11040730010803,6
11040730010804,11
11040730010901,34
11040730010902,5
11040730010903,42
11040730010904,15
11040730010905,35
11040730010906,7
11040730010907,10
11040730010908,3
11040730010909,5
11040730020001,9
11040730020002,63
11040730020201,13
11040730020301,5
11040730020302,4
11040730020303,9
11040730020401,4
11040730020402,9
11050530010001,64
11050530010002,93
11050530010003,11
11050530010004,8
11050530010005,28
11050530010006,31
11050530010008,141
11050530010009,70
11050530010010,31
11050530010011,25
11050530020001,68
11050530020002,32
11050530020003,17
11050530020004,51
11050530020005,66
11050530020006,46
11050530020007,32
11050530020008,50
11050530020009,75
11050530020010,49
11050530020011,44
11050530020012,48
