iter	Passed	Remaining
1148	76390	43281
1149	76450	43211
1150	76502	43136
1151	76553	43061
1152	76604	42986
1153	76656	42911
1154	76720	42843
1155	76784	42776
1156	76835	42700
1157	76901	42634
1158	76953	42560
1159	77043	42506
1160	77198	42488
1161	77278	42429
1162	77328	42354
1163	77382	42281
1164	77437	42208
1165	77487	42133
1166	77538	42058
1167	77598	41988
1168	77648	41913
1169	77699	41838
1170	77751	41763
1171	77808	41692
1172	77860	41618
1173	77909	41543
1174	77960	41468
1175	78019	41398
1176	78184	41384
1177	78239	41311
1178	78290	41236
1179	78340	41161
1180	78403	41093
1181	78464	41024
1182	78531	40958
1183	78588	40887
1184	78641	40813
1185	78702	40744
1186	78753	40670
1187	78803	40595
1188	78867	40527
1189	78917	40453
1190	78969	40379
1191	79019	40305
1192	79077	40234
1193	79169	40181
1194	79310	40152
1195	79364	40080
1196	79414	40005
1197	79465	39931
1198	79523	39861
1199	79580	39790
1200	79633	39717
1201	79695	39648
1202	79745	39574
1203	79798	39501
1204	79849	39427
1205	79913	39360
1206	79967	39288
1207	80018	39214
1208	80070	39141
1209	80122	39068
1210	80217	39015
1211	80270	38943
1212	80321	38869
1213	80388	38803
1214	80452	38736
1215	80514	38668
1216	80565	38594
1217	80616	38521
1218	80666	38447
1219	80720	38375
1220	80770	38301
1221	80820	38227
1222	80873	38155
1223	80934	38086
1224	80986	38013
1225	81035	37940
1226	81086	37866
1227	81146	37798
1228	81251	37750
1229	81304	37677
1230	81354	37604
1231	81473	37562
1232	81528	37491
1233	81586	37421
1234	81641	37350
1235	81704	37282
1236	81772	37217
1237	81837	37150
1238	81905	37085
1239	81957	37012
1240	82007	36939
1241	82062	36868
1242	82115	36796
1243	82168	36724
1244	82246	36664
1245	82314	36598
1246	82368	36527
1247	82422	36455
1248	82474	36383
1249	82527	36312
1250	82582	36241
1251	82696	36196
1252	82756	36127
1253	82821	36060
1254	82870	35987
1255	82924	35916
1256	82982	35846
1257	83033	35774
1258	83085	35702
1259	83136	35630
1260	83187	35557
1261	83282	35504
1262	83351	35439
1263	83402	35366
1264	83454	35294
1265	83506	35223
1266	83558	35151
1267	83612	35080
1268	83663	35008
1269	83714	34935
1270	83859	34903
1271	83909	34830
1272	83961	34758
1273	84012	34686
1274	84067	34615
1275	84116	34543
1276	84164	34469
1277	84220	34399
1278	84278	34330
1279	84357	34270
1280	84412	34199
1281	84461	34127
1282	84513	34055
1283	84564	33983
1284	84621	33914
1285	84671	33842
1286	84723	33770
1287	84773	33698
1288	84834	33631
1289	84896	33563
1290	84964	33498
1291	85048	33440
1292	85105	33370
1293	85161	33301
1294	85215	33230
1295	85269	33160
1296	85382	33112
1297	85445	33045
1298	85497	32974
1299	85549	32903
1300	85600	32832
1301	85651	32760
1302	85709	32692
1303	85759	32620
1304	85810	32548
1305	85859	32476
1306	85919	32408
1307	85969	32337
1308	86026	32268
1309	86092	32202
1310	86221	32160
1311	86279	32091
1312	86342	32024
1313	86394	31954
1314	86463	31889
1315	86541	31828
1316	86592	31757
1317	86644	31686
1318	86694	31614
1319	86747	31544
1320	86809	31477
1321	86867	31409
1322	86918	31337
