구,위도,경도,위험점수_AHP,소방위험도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.5553408,126.98379252,18.47,0.1482,0,0.0,2.978187963903081,34.0,0.1536,55.56
중구,37.56060529,126.98968153,28.37,0.1001,9,66.7,1.85077964762718,39.0,0.1694,100.0
중구,37.55646209,126.98424233,39.73,0.1086,1,100.0,1.5410659661456148,9.0,0.4676,100.0
중구,37.55634977,126.98417952,40.08,0.1108,1,100.0,1.4914374618404542,34.0,0.4676,17.24
중구,37.56105995,127.00331236,44.4,0.4182,29,65.5,0.6931471805599453,6.0,0.1108,60.87
중구,37.56039746,126.97757525,30.35,0.2452,23,60.9,0.2050498078715107,7.0,0.1094,60.0
중구,37.55558838,126.9850216,19.65,0.1506,5,60.0,0.017241806434506,7.0,0.1179,38.1
중구,37.55897352,126.98351716,31.65,0.067,21,76.2,0.5986563371390229,39.0,0.1966,50.0
중구,37.56237712,126.98294095,43.97,0.2002,8,50.0,1.036539860025732,15.0,0.1922,0.0
중구,37.55730627,126.99049245,8.65,0.113,0,0.0,1.0986122886681098,7.0,0.1322,20.0
중구,37.55893191,126.98857126,10.38,0.0551,15,26.7,1.2881257692367702,9.0,0.1136,51.52
중구,37.56058087,126.99202564,18.14,0.1001,33,75.8,0.0516500095542754,4.0,0.1136,20.0
중구,37.55857874,126.99502482,36.87,0.192,15,53.3,0.0909717782057266,12.0,0.1694,0.0
중구,37.56386051,126.98858496,28.78,0.1894,6,0.0,0.1177830356563834,39.0,0.1136,33.33
중구,37.5613481,126.99911036,29.27,0.2423,9,33.3,2.712598247600114,7.0,0.115,0.0
중구,37.55378191,126.99241512,20.83,0.2894,0,0.0,0.0,7.0,0.1165,20.0
중구,37.55439108,126.97410212,43.05,0.3044,15,33.3,4.29898464197175,9.78,0.1565,34.78
중구,37.55883796,126.98523766,31.3,0.098,23,60.9,0.8744840006913605,7.0,0.1808,20.59
중구,37.55890463,126.986388,35.2,0.113,34,76.5,0.7798304197287472,9.0,0.1665,57.14
중구,37.55862664,126.97564128,45.87,0.2984,7,57.1,1.125439530901254,20.0,0.1652,65.22
중구,37.56046238,126.97732197,33.89,0.2539,23,65.2,0.5916107613405224,7.0,0.1165,20.0
중구,37.55871693,126.98716971,29.44,0.0918,15,60.0,1.0557102671239005,34.0,0.1808,8.0
중구,37.556976,126.98465416,34.23,0.098,25,72.0,1.0957095290101484,9.0,0.1723,57.14
중구,37.56192055,126.97712593,48.05,0.3014,14,57.1,3.558351066749184,9.0,0.1665,2.27
중구,37.55399997,127.0052469,44.46,0.1814,44,77.3,3.872802292274865,3.0,0.1551,0.0
중구,37.56206001,126.98030217,35.58,0.2195,3,0.0,0.0218190473946397,39.0,0.1509,79.31
중구,37.5615652,126.984857,46.75,0.1735,29,79.3,2.134937947129352,15.0,0.1766,62.5
중구,37.55958613,126.97790365,26.65,0.2167,8,62.5,0.0405460943943499,7.0,0.1165,16.67
중구,37.5594974,127.00609868,47.02,0.3595,6,16.7,1.699539747131287,25.0,0.1565,48.28
중구,37.56144741,127.00129028,38.48,0.3287,29,75.9,0.7390842757469709,7.0,0.115,13.33
중구,37.55820209,126.98284338,18.38,0.0551,15,33.3,0.6461586711240263,39.0,0.1465,62.16
중구,37.56140326,126.99787449,30.98,0.1947,37,78.4,0.7985076962177716,3.0,0.115,0.0
중구,37.56555219,126.97585864,68.91,0.4735,2,0.0,0.041672696400568,10.59,0.1766,0.0
