사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부,지번주소_매칭,도로명주소_매칭,매칭건물명,매칭건축물대장PK,매칭소스,매칭방식,매칭점수
19630304,N,11000000002291,N,서울특별시 중구 남산동1가,서울특별시,중구,남산동1가,N,N,N,동도호텔(구.동도여관),N,,,,,,,0.0
19630406,N,11000000002314,Y,서울특별시 중구 장충동2가,서울특별시,중구,장충동2가,Y,N,N,앰배서더 서울 풀만,N,서울특별시 중구 장충동2가 186-54번지,서울특별시 중구 동호로 287 (장충동2가),앰배서더 서울 풀만호텔,100319395,등기부등본_표제부_중구.csv,fuzzy_name_address,16.6
19630830,N,11000000002397,N,서울특별시 마포구 아현동,서울특별시,마포구,아현동,N,N,N,미화여관,N,대구 동구 신암동 1289-20,대구 동구 신암로14길 3,미화여관,,kakao_keyword,kakao_keyword,10.0
19630901,N,11000000002403,N,서울특별시 중구 남창동,서울특별시,중구,남창동,N,N,N,금오빌딩,N,서울 중구 남창동 9-15,서울 중구 퇴계로 61,금오빌딩,,kakao_keyword,kakao_keyword,12.5
19631001,N,11000000002412,N,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,N,N,N,"현. 노대영건물, 구.동원빌딩(와룡동 116-1)",Y,,,,,,,0.0
19631201,N,11000000002468,N,서울특별시 종로구 종로5가,서울특별시,종로구,종로5가,N,N,Y,"라임모텔 (구,동산여관 )",Y,서울특별시 종로구 종로5가 93-1번지,서울특별시 종로구 대학로1길 9 (종로5가),라임모텔,1002113022,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19560412,N,11000000002517,N,서울특별시 용산구 청파동1가,서울특별시,용산구,청파동1가,N,N,N,신진장여관,N,서울특별시 용산구 청파동1가 154-8번지,서울특별시 용산구 청파로 330-18 (청파동1가),신진장,1004121079,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,16.45
19640508,N,11000000002553,N,서울특별시 용산구 한강로3가,서울특별시,용산구,한강로3가,N,N,N,우성장여관,N,,,,,,,0.0
19641001,N,11000000002632,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,Y,지암빌딩(유스테이호스텔),Y,서울특별시 중구 명동2가 27-1번지,서울특별시 중구 명동10길 23 (명동2가),유스테이호스텔(U-STAY HOSTEL),100315184,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19641004,N,11000000002652,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,N,유엔에이치인터네셔날(구.경도빌딩--32-2)),N,,,,,,,0.0
19641009,N,11000000002655,N,서울특별시 용산구 동자동,서울특별시,용산구,동자동,N,N,N,서정여인숙(우정식당),N,서울특별시 용산구 동자동 10번지,서울특별시 용산구 후암로57길 3-6 (동자동),서정여인숙,1004122875,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19650301,N,11000000002773,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,퀸모텔,N,서울특별시 중구 신당동 430-4번지,서울특별시 중구 동호로15길 7 (신당동),퀸모텔,1003120819,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19650401,N,11000000002794,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,미정여관,N,서울특별시 종로구 낙원동 195-4번지,서울특별시 종로구 돈화문로5길 36 (낙원동),미정,1002113362,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.45
19891216,N,11000000002800,N,서울특별시 영등포구 영등포동3가,서울특별시,영등포구,영등포동3가,N,N,N,올림피아모텔,N,제주특별자치도 제주시 용담일동 2829-7,제주특별자치도 제주시 서광로 171,올림피아모텔,,kakao_keyword,kakao_keyword,10.0
19560907,N,11000000002809,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,용호낙지건물(구.비어캐빈건물),N,,,,,,,0.0
19650407,N,11000000002828,N,서울특별시 중구 충무로3가,서울특별시,중구,충무로3가,N,N,N,충무로3가 59-13 지정석 건물(구. 극동의원),N,,,,,,,0.0
19650501,N,11000000002848,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,신라장여관,N,서울 중구 신당동 281-34,서울 중구 다산로42나길 53-1,신라장여관,,kakao_keyword,kakao_keyword,12.5
19650501,N,11000000002852,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,대우모텔,N,서울특별시 중구 북창동 65-1번지,서울특별시 중구 세종대로14길 22-2 (북창동),대우모텔,100312932,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
