구,위도,경도,위험점수_AHP,소방접근성_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.56217058,126.98426358,42.41,0.779,26,73.1,2.1351521486938414,6.0,0.1422,0.0
중구,37.55952462,126.98113677,24.26,0.8825,6,100.0,0.9245514488815216,8.0,0.1122,0.0
중구,37.55587082,126.98398358,15.46,0.863,0,0.0,2.6556884490078847,34.0,0.1408,76.0
중구,37.56030545,127.00475169,59.16,0.5335,25,76.0,0.4660897299245992,6.0,0.1451,75.0
중구,37.56589354,127.00694427,34.37,0.7595,8,75.0,2.502938151671187,30.0,0.1408,48.0
중구,37.5615963,126.99013673,17.88,0.8725,25,48.0,0.6931471805599453,20.0,0.1108,0.0
중구,37.5553408,126.98379252,21.47,0.8355,0,0.0,2.978187963903081,34.0,0.1536,55.56
중구,37.56060529,126.98968153,26.38,0.905,9,55.6,1.85077964762718,39.0,0.1694,100.0
중구,37.55646209,126.98424233,44.62,0.891,1,100.0,1.5410659661456148,9.0,0.4676,100.0
중구,37.55634977,126.98417952,37.95,0.8865,1,100.0,1.4914374618404542,34.0,0.4676,17.24
중구,37.56105995,127.00331236,46.65,0.5395,29,48.3,0.6931471805599453,6.0,0.1108,60.87
중구,37.56039746,126.97757525,32.64,0.722,23,60.9,0.2050498078715107,7.0,0.1094,60.0
중구,37.55558838,126.9850216,23.63,0.8325,5,60.0,0.017241806434506,7.0,0.1179,38.1
중구,37.55897352,126.98351716,28.47,0.9595,21,38.1,0.5986563371390229,39.0,0.1966,50.0
중구,37.56237712,126.98294095,47.37,0.771,8,50.0,1.036539860025732,15.0,0.1922,0.0
중구,37.55730627,126.99049245,16.96,0.886,0,0.0,1.0986122886681098,7.0,0.1322,20.0
중구,37.55893191,126.98857126,15.2,0.9805,15,66.7,1.2881257692367702,9.0,0.1136,51.52
중구,37.56058087,126.99202564,21.77,0.905,33,51.5,0.0516500095542754,4.0,0.1136,20.0
중구,37.55857874,126.99502482,39.74,0.7825,15,40.0,0.0909717782057266,12.0,0.1694,0.0
중구,37.56386051,126.98858496,22.13,0.785,6,100.0,0.1177830356563834,39.0,0.1136,33.33
중구,37.5613481,126.99911036,35.43,0.725,9,66.7,2.712598247600114,7.0,0.115,0.0
중구,37.55378191,126.99241512,26.52,0.6745,0,0.0,0.0,7.0,0.1165,20.0
중구,37.55439108,126.97410212,50.93,0.658,15,40.0,4.29898464197175,9.78,0.1565,34.78
중구,37.55883796,126.98523766,36.94,0.908,23,34.8,0.8744840006913605,7.0,0.1808,20.59
중구,37.55890463,126.986388,38.38,0.8845,34,55.9,0.7798304197287472,9.0,0.1665,57.14
중구,37.55862664,126.97564128,47.0,0.6625,7,57.1,1.125439530901254,20.0,0.1652,65.22
중구,37.56046238,126.97732197,36.49,0.7105,23,65.2,0.5916107613405224,7.0,0.1165,20.0
중구,37.55871693,126.98716971,28.2,0.918,15,40.0,1.0557102671239005,34.0,0.1808,8.0
중구,37.556976,126.98465416,38.27,0.906,25,64.0,1.0957095290101484,9.0,0.1723,57.14
중구,37.56192055,126.97712593,54.75,0.661,14,57.1,3.558351066749184,9.0,0.1665,2.27
중구,37.55399997,127.0052469,51.14,0.795,44,75.0,3.872802292274865,3.0,0.1551,0.0
중구,37.56206001,126.98030217,30.37,0.7515,3,66.7,0.0218190473946397,39.0,0.1509,79.31
중구,37.5615652,126.984857,49.03,0.804,29,79.3,2.134937947129352,15.0,0.1766,62.5
중구,37.55958613,126.97790365,29.91,0.752,8,62.5,0.0405460943943499,7.0,0.1165,16.67
중구,37.5594974,127.00609868,47.4,0.6,6,50.0,1.699539747131287,25.0,0.1565,48.28
중구,37.56144741,127.00129028,41.04,0.6305,29,48.3,0.7390842757469709,7.0,0.115,13.33
중구,37.55820209,126.98284338,14.57,0.98,15,60.0,0.6461586711240263,39.0,0.1465,62.16
중구,37.56140326,126.99787449,34.46,0.7795,37,62.2,0.7985076962177716,3.0,0.115,0.0
중구,37.56555219,126.97585864,69.15,0.4795,2,100.0,0.041672696400568,10.59,0.1766,0.0
중구,37.54780376,127.00218665,50.7,0.5655,0,0.0,2.9363088530831902,18.0,0.1723,50.0
중구,37.56342608,126.995507,25.21,0.866,32,50.0,0.6931471805599453,15.0,0.1251,44.44
중구,37.56143879,126.98227454,37.61,0.818,9,44.4,1.2017965249033404,15.0,0.1708,0.0
중구,37.55986298,126.96908924,58.51,0.409,5,80.0,0.1282106588186425,10.0,0.1265,20.0
중구,37.56253058,127.00194604,39.25,0.603,10,40.0,0.2145598076228183,3.0,0.115,28.57
중구,37.56137967,127.00793569,38.93,0.64,14,57.1,0.3417492937220566,5.0,0.115,36.84
중구,37.56288054,126.97864626,55.82,0.672,19,36.8,3.1939813570440467,5.0,0.1766,22.22
중구,37.55792308,126.98548871,44.21,0.901,27,63.0,0.7357067949787413,7.0,0.1909,0.0
중구,37.56523844,126.97737331,46.55,0.533,0,0.0,0.7449722484245314,39.0,0.1794,14.29
중구,37.56168836,126.97931189,47.77,0.7415,7,42.9,2.389841537991274,9.0,0.178,28.89
중구,37.56206173,126.99491248,27.88,0.9135,45,46.7,1.0968233794253852,39.0,0.1623,41.18
중구,37.56177049,127.00707987,37.39,0.6355,17,41.2,1.0672617587840336,4.0,0.1094,65.22
중구,37.56440216,126.99952076,48.2,0.684,46,65.2,0.4370134658430903,20.0,0.1509,0.0
중구,37.55589221,126.98425667,19.12,0.861,0,0.0,2.5709513761465352,34.0,0.1536,50.0
중구,37.56182034,126.98235783,23.37,0.7985,6,50.0,2.7126691469585045,9.0,0.1022,50.0
중구,37.56201257,126.98374891,32.96,0.791,14,50.0,0.4126853560816514,6.0,0.1365,61.11
중구,37.56041505,126.98504625,35.5,0.8575,18,61.1,1.8272215026672964,9.0,0.1523,0.0
중구,37.55602148,126.98400789,24.77,0.871,0,0.0,2.5113651113274305,34.0,0.4535,0.0
용산구,37.5309905,126.99287096,37.56,0.771,4,100.0,0.009389740349839,13.0,0.1408,0.0
용산구,37.51842522,126.95939349,39.56,0.391,0,0.0,0.017241806434506,40.0,0.1222,0.0
용산구,37.53117208,126.99046509,45.76,0.704,6,66.7,3.2086348857548064,38.0,0.4535,33.33
용산구,37.53120965,126.9912185,35.21,0.731,21,47.6,3.4850065721311685,13.0,0.1194,6.0
용산구,37.5517128,126.96658186,61.86,0.6845,100,47.0,0.2122469600899965,5.0,0.1608,21.43
용산구,37.52489689,126.96363419,41.44,0.466,14,71.4,1.556604497612753,40.0,0.232,3.7
용산구,37.55142339,126.96553086,61.66,0.7335,108,62.0,0.6757554378480761,5.0,0.4324,0.0
용산구,37.52931063,126.99379816,40.8,0.704,5,60.0,0.046091107200267,5.0,0.413,7.14
용산구,37.53213283,126.99278762,28.39,0.817,28,53.6,1.7727112742573603,13.0,0.1179,6.67
용산구,37.5367936,126.99702538,35.2,0.856,15,66.7,1.000848119902218,6.0,0.5574,0.0
용산구,37.52917031,126.9616552,25.84,0.635,0,0.0,0.0,14.0,0.1108,3.45
용산구,37.53258975,126.99761001,48.43,0.8725,87,71.3,1.2959351403605768,3.0,0.1523,0.0
