"X좌표","Y좌표","위도","경도","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명대지위치","연면적(㎡)","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","총층수","사용승인일","허가일","승용승강기수","비상용승강기수","내진설계적용여부","소방청_매칭상태","소방청_스프링클러(AV)설치여부","소방청_간이스프링클러(AV)설치여부","소방청_대상물명","소방청_지번주소_매칭","소방청_도로명주소_매칭","소방청_매칭방식","소방청_매칭점수","용적률","건폐률"
"198441.269874845","451365.561736866","37.56182034","126.98235783","서울특별시 중구 을지로2가 199-50번지","11140","10500","0","199","50","호텔베르","1000000000000001494323","서울특별시 중구 명동7가길 22 (을지로2가)","1999.6","166.633333","21.0","철근콘크리트구조","15000","숙박시설","11","1","12","20230322.0","20210115.0","2","0","1.0","이름+주소일치","Y","N","명동M타워(호텔베르)","서울특별시 중구 을지로2가 199-50번지","서울특별시 중구 명동7가길 22 (을지로2가)","exact_name_gu_dong","100.0","634.2","59.51"
"198564.1795109","451386.874682463","37.56201257","126.98374891","서울특별시 중구 명동1가 38-1번지","11140","12600","0","38","1","호스텔아라","10031100203813","서울특별시 중구 명동9길 21 (명동1가)","2442.13","222.011818","21.0","철근콘크리트","04000","근린생활시설,일반숙박시설","7","4","11","19990105.0","19961029.0","1","0","1.0","주소만일치","N","N","명동포커스","서울특별시 중구 명동1가 38-1번지","서울특별시 중구 명동9길 21 (명동1가)","fuzzy_name_address","16.56","417.05","59.57"
"198678.774286832","451209.550729181","37.56041505","126.98504625","서울특별시 중구 명동2가 2-21번지","11140","12700","0","2","21","블루닷 포쉬텔","100315150","서울특별시 중구 명동10길 19-27 (명동2가)","1715.97","285.995","21.0","철근콘크리트조","15000","관광숙박시설,근린생활시설","5","1","6","19881109.0","19871231.0","0","0","0.0","이름+주소일치","N","N","명동디자이너스빌딩(블루닷포쉬텔)","서울특별시 중구 명동2가 2-21번지","서울특별시 중구 명동10길 19-27 (명동2가)","hospitality_exact_name_gu_dong","100.0","230.95","50.96"
"198586.947483956","450721.931166203","37.55602148","126.98400789","서울특별시 중구 남산동2가 36-1번지","11140","12900","0","36","1","다두하우스","100315646","서울특별시 중구 퇴계로18길 49 (남산동2가)","459.14","153.046667","11.0","연와조","15000","주택, 근린생활시설, 차고","2","1","3","19711130.0","","0","0","0.0","불일치","","","","","","","","200.0","60.0"
"199369.871968405","447943.699776291","37.53099050","126.99287096","서울특별시 용산구 이태원동 130-9번지","11170","13000","0","130","9","호스텔 펠라즈(Hostel Fellaz)","100418543","서울특별시 용산구 이태원로26길 17-1 (이태원동)","282.47","70.6175","21.0","철근콘크리트조","15000","관광숙박시설(호스텔)","3","1","4","19960628.0","19960413.0","0","0","0.0","이름+주소일치","N","N","호스텔 펠라즈","서울특별시 용산구 이태원동 130-9번지","서울특별시 용산구 이태원로26길 17-1 (이태원동)","hospitality_exact_name_gu_dong","100.0","143.14","58.26"
"196410.233494294","446549.862090232","37.51842522","126.95939349","서울특별시 용산구 이촌동 376번지","11170","12900","0","376","0","스카이 스위트","10041100186202","서울특별시 용산구 양녕로 495 (이촌동)","178.07","59.356667","21.0","철근콘크리트조","15000","숙박시설(호스텔)","3","0","3","20090918.0","20080813.0","1","0","1.0","불일치","","","","","","","","0.88","0.95"
"199157.2217515","447963.871890394","37.53117208","126.99046509","서울특별시 용산구 이태원동 64-24번지","11170","13000","0","64","24","와이낫슬립(Why Not Sleep)","10041100191174","서울특별시 용산구 보광로59길 50 (이태원동)","76.92","25.64","11.0","연와조","03000","제1,2종근린생활시설","2","1","3","19710430.0","","0","0","0.0","불일치","","","","","","","","80.31","48.32"
"199223.815483747","447968.035884444","37.53120965","126.99121850","서울특별시 용산구 이태원동 66-2번지","11170","13000","0","66","2","스테이 파키라(Stay Pachira)","10041100189932","서울특별시 용산구 보광로59길 36 (이태원동)","461.78","65.968571","21.0","철근콘크리트구조","04000","제2종근린생활시설","6","1","7","20110118.0","20091030.0","1","0","1.0","불일치","","","","","","","","315.37","58.71"
"197047.024933919","450244.123927585","37.55171280","126.96658186","서울특별시 용산구 서계동 223-56번지","11170","10800","0","223","56","mingle stay","1004126690","서울특별시 용산구 만리재로 190-1 (서계동)","696.88","139.376","21.0","철근콘크리트조","15000","숙박시설(호스텔)","4","1","5","19821221.0","","0","0","1.0","불일치","","","","","","","","282.59","74.68"
"196785.404801941","447267.982864433","37.52489689","126.96363419","서울특별시 용산구 한강로3가 99번지","11170","12800","0","99","0","나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan)","1000000000000002224405","서울특별시 용산구 한강대로23길 25 (한강로3가)","40265.72","1088.262703","21.0","철근콘크리트구조,철골구조","33000","국방군사시설,숙박시설,업무시설,판매시설","30","7","37","20230228.0","","5","1","1.0","주소만일치","Y","N","나인트리 프리미어 로카우스 호텔","서울특별시 용산구 한강로3가 99번지","서울특별시 용산구 한강대로23길 25 (한강로3가)","fuzzy_name_address","16.41","927.04","53.76"
"196954.142298721","450212.036562714","37.55142339","126.96553086","서울특별시 용산구 서계동 232-34번지","11170","10800","0","232","34","스테이터울","1004116566","서울특별시 용산구 만리재로 180-1 (서계동)","282.32","56.464","21.0","철근콘크리트, 세멘벽돌조","03000","근린생활시설","4","1","5","19831030.0","","0","0","0.0","불일치","","","","","","","","800.0","60.0"
"199451.81421534","447757.249356311","37.52931063","126.99379816","서울특별시 용산구 이태원동 99-16번지","11170","13000","0","99","16","H호스텔","1004111028","서울특별시 용산구 보광로 103-2 (이태원동)","1317.31","219.551667","21.0","철근콘크리트조, 연와조","15000","관광숙박시설외1","5","1","6","19941020.0","19921124.0","1","0","1.0","이름+주소일치","Y","Y","H호스텔(소망빌딩)","서울특별시 용산구 이태원동 99-16번지","서울특별시 용산구 보광로 103-2 (이태원동)","hospitality_exact_name_gu_dong","100.0","236.67","49.08"
"199362.51518342","448070.485388482","37.53213283","126.99278762","서울특별시 용산구 이태원동 108-9번지","11170","13000","0","108","9","해밀톤관광호텔","10041100194273","서울특별시 용산구 이태원로 179 (이태원동)","306.61","102.203333","21.0","철근콘크리트구조","04000","제2종근린생활시설","3","0","3","20120920.0","20090630.0","0","0","1.0","주소만일치","Y","N","해밀톤호텔","서울특별시 용산구 이태원동 108-9번지","서울특별시 용산구 이태원로 179 (이태원동)","fuzzy_name_address","13.33","800.0","60.0"
"199737.097413554","448587.753314794","37.53679360","126.99702538","서울특별시 용산구 한남동 747-7번지","11170","13100","0","747","7","서울미라마(유)그랜드하얏트서울","1004122144","서울특별시 용산구 소월로 322 (한남동)","960.0","480","21.0","철근콘크리트조,경량철골조","15000","사무실,구판장,기계실,온실,창고","2","0","2","19890708.0","","0","0","0.0","불일치","","","","","","","","1.62","0.96"
"196610.663839509","447742.348636253","37.52917031","126.96165520","서울특별시 용산구 한강로3가 40-969번지","11170","12800","0","40","969","(주)서부티엔디 노보텔 앰배서더 서울 용산","10041100208778","서울특별시 용산구 청파로20길 95 (한강로3가)","185482.49","4215.511136","21.0","철근콘크리트구조","15000","숙박시설(관광호텔,가족호텔)","40","4","44","20170713.0","20140514.0","26","7","0.0","주소만일치","Y","N","서울드래곤시티호텔","서울특별시 용산구 한강로3가 40-969번지","서울특별시 용산구 청파로20길 95 (한강로3가)","fuzzy_name_address","16.59","948.93","59.55"
"199788.755748324","448121.175798434","37.53258975","126.99761001","서울특별시 용산구 한남동 737-25번지","11170","13100","0","737","25","임피리얼팰리스 부티크호텔(Imperial Palace Boutique Hotel)","100414796","서울특별시 용산구 이태원로 221 (한남동)","10653.55","710.236667","21.0","철근콘크리트라멘조","15000","관광숙박시설, 위락시설,근린생활시설","11","4","15","19881005.0","19920722.0","2","1","1.0","이름+주소일치","N","N","임피리얼팰리스 부티크호텔","서울특별시 용산구 한남동 737-25번지","서울특별시 용산구 이태원로 221 (한남동)","exact_name_gu_dong","100.0","449.06","48.05"
"199337.628628981","447413.487156381","37.52621325","126.99250665","서울특별시 용산구 이태원동 22-76번지","11170","13000","0","22","76","몬드리안 서울 이태원","100418920","서울특별시 용산구 장문로 23 (이태원동)","38503.89","1674.082174","21.0","철근콘크리트구조","15000","숙박시설","17","6","23","19880912.0","","5","1","0.0","주소만일치","Y","N","몬드리안서울이태원호텔(구.캐피탈호텔)","서울특별시 용산구 이태원동 22-76번지","서울특별시 용산구 장문로 23 (이태원동)","hospitality_fuzzy_name_address","14.61","258.6","36.07"
"197525.407310462","449844.319841559","37.54811198","126.97199695","서울특별시 용산구 동자동 56번지","11170","10700","0","56","0","(주)조선호텔앤리조트 포포인츠 조선 서울역","10041100202565","서울특별시 용산구 한강대로 366 (동자동)","91298.84","2467.536216","42.0","철골철근콘크리트구조","14000","업무시설","30","7","37","20150327.0","19970122.0","13","2","1.0","주소만일치","Y","N","트윈시티 남산(포포인츠)","서울특별시 용산구 동자동 56번지","서울특별시 용산구 한강대로 366 (동자동)","exact_name_gu_dong","100.0","999.84","50.92"
