119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
공단119안전센터,,11000000318693,서울특별시,,가리봉동,,숙박시설,Y,20180625,구로소방서,아단아,20180717,Y,,,442323.97,,,N,190311.34,20180619,구로구,아단아,,작동점검대상
공단119안전센터,서울특별시 구로구 가리봉동,11000000323892,서울특별시,,가리봉동,,숙박시설,Y,20190712,구로소방서,스토리 호스텔,20190730,Y,N,,442266.07,,,N,190176.17,20190705,구로구,,,종합점검대상
현장대응단,,11000000026727,서울특별시,,방배동,20220115,숙박시설,Y,20001214,서초소방서,블루문모텔(폐업),19820331,Y,N,,444269.67,,20190114,,198735.49,,서초구,,삼성화재,작동점검대상
길동119안전센터,서울특별시 강동구 길동,11000000029653,서울특별시,,길동,20240930,숙박시설,Y,20050806,강동소방서,샘호텔,19830624,Y,N,,449079.27,,20240929,,212567.7,,강동구,샘호텔,미가입,작동점검대상
현장대응단,,11000000025363,서울특별시,,노고산동,,숙박시설,Y,19991203,마포소방서,"호텔산타페(건물폐쇄,재개발,26.1.1.)",19800807,Y,N,,450456.06,,,,194310.01,,마포구,,,작동점검대상
현장대응단,,11000000056619,서울특별시,,노고산동,,숙박시설,Y,20040819,마포소방서,그랜드(구.신촌가온호스텔),19900122,Y,N,,450369.64,,,,194364.27,,마포구,,,작동점검대상
현장대응단,서울특별시 마포구 노고산동,11000000099324,서울특별시,,노고산동,20230612,숙박시설,Y,20031218,마포소방서,스카이모텔(건물미사용 자체점검 연기),20000612,Y,N,,450589.57,,20180612,,194272.07,,마포구,,삼성화재,작동점검대상
염리119안전센터,서울특별시 마포구 염리동,11000000006731,서울특별시,N,염리동,,숙박시설,Y,20000823,마포소방서,미미찬(구 금산여관),19700501,N,,N,450692.59,,,,195288.74,,마포구,,,
현장대응단,,11000000054140,서울특별시,,성내동,20200323,숙박시설,Y,20041229,강동소방서,발리관광호텔(숙박),19800114,Y,N,,447734.7,,20190323,,211937.52,,강동구,,DB화재,종합및작동점검대상
잠실119안전센터,서울특별시 송파구 석촌동,11000000154446,서울특별시,Y,석촌동,20201029,숙박시설,Y,20130807,송파소방서,로사나관광호텔,20130816,Y,N,,445175.95,,20191029,,208618.66,,송파구,로사나부띠끄호텔,흥국화재,종합점검대상
녹번119안전센터,,11000000313690,서울특별시,,녹번동,,숙박시설,Y,20170426,은평소방서,호텔루 136,20200417,Y,N,,456159.33,,,N,193334.01,20200113,은평구,호텔루136,,작동점검대상
연건119안전센터,서울특별시 종로구 인의동,11000000120461,서울특별시,,인의동,20180110,숙박시설,Y,20070108,종로소방서,호텔 아트리움(구.라마다호텔),20041122,Y,,,452482.56,,20170110,,199832.56,20041120,종로구,경찰공제회,롯데손해보험,종합점검대상
서교119안전센터,,11000000328919,서울특별시,,합정동,,숙박시설,Y,20210101,마포소방서,주니비노호텔(구 준희빈호텔),20210723,Y,N,,449813.16,,,N,192125.46,20201229,마포구,주니비노 호텔,,종합점검대상
신림119안전센터,,11000000094777,서울특별시,,신림동,,숙박시설,Y,20040219,관악소방서,릴호텔,19981009,Y,,,443071.43,,,,193772.64,,관악구,,,작동점검대상
신림119안전센터,,11000000161133,서울특별시,,신림동,,숙박시설,Y,20140429,관악소방서,나이스타임호텔,20140528,Y,N,,442840.46,,,,193922.65,,관악구,나이스 타임 호텔,,종합점검대상
신림119안전센터,,11000000323257,서울특별시,,신림동,,숙박시설,Y,20190503,관악소방서,송호빌딩,20201231,Y,N,,442979.49,,,N,193626.42,20201228,관악구,송호,,종합점검대상
신림119안전센터,,11000000107218,서울특별시,,신림동,,숙박시설,Y,20050729,관악소방서,아이비하우스(구.스카이모텔),20020719,Y,,,442883.5,,20091002,,193953.5,,관악구,,동부화재,작동점검대상
신림119안전센터,,11000000086026,서울특별시,,신림동,20250417,숙박시설,Y,20010904,관악소방서,타워모텔,19951208,Y,N,,443004.1,,20150417,,193845.32,,관악구,,삼성화재,작동점검대상
현장대응단,서울특별시 강남구 대치동,11000000122378,서울특별시,Y,대치동,,숙박시설,Y,20051226,강남소방서,파크하얏트서울,20050304,Y,N,,445474.96,,,,205683.38,,강남구,파크하얏트 서울,,종합점검대상
현장대응단,서울특별시 도봉구 방학동,11000000251474,서울특별시,Y,방학동,20190710,숙박시설,Y,20150612,도봉소방서,호텔베이204,20170623,Y,N,,463130.8,,20180710,N,203852.52,20170623,도봉구,호텔베이204,KB손해보험,종합및작동점검대상
충무로119안전센터,서울특별시 중구 을지로2가,11000000085373,서울특별시,,을지로2가,20240810,숙박시설,Y,20060220,중부소방서,와이즈빌딩(호텔스카이파크 명동2호점),19951010,Y,N,,451710.86,,20230810,,198673.99,,중구,,메리츠손해보험,종합및작동점검대상
