좌표정보X(EPSG5174),좌표정보Y(EPSG5174),대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,도로명대지위치,연면적(㎡),대지면적(㎡),건축면적(㎡),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,용적률(%),건폐율(%),용적률산정연면적(㎡),용도지역,건폐율_법정상한(%),용적률_법정상한(%)
203779.71,445042.9,서울특별시 강남구 역삼동 693-3번지,11680,10100,0,693,3,1024122631,서울특별시 강남구 테헤란로53길 66 (역삼동),528.36,224.3,132.09,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19971014.0,19960627.0,0,0,0.0,176.67,58.89,396.27,제2종일반주거지역,60.0,250.0
203856.2,445004.1,서울특별시 강남구 역삼동 693-27번지,11680,10100,0,693,27,1024118903,서울특별시 강남구 선릉로103길 14-3 (역삼동),419.06,218.0,125.52,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19961130.0,19960404.0,0,0,0.0,145.52,57.58,317.24,제2종일반주거지역,60.0,250.0
203929.01,444949.53,서울특별시 강남구 역삼동 695-17번지,11680,10100,0,695,17,1000000000000006235923,서울특별시 강남구 테헤란로55길 45 (역삼동),770.63,289.1,171.92,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,5,1,20250723.0,20230926.0,1,0,,199.73,59.47,577.43,제2종일반주거지역,60.0,250.0
203914.86,444960.4,서울특별시 강남구 역삼동 695-18번지,11680,10100,0,695,18,1000000000000006250078,서울특별시 강남구 테헤란로55길 47 (역삼동),765.22,300.7,171.92,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,5,1,20250723.0,20230926.0,1,0,,190.23,57.17,572.01,제2종일반주거지역,60.0,250.0
203912.36,444857.54,서울특별시 강남구 역삼동 697-49번지,11680,10100,0,697,49,1024113095,서울특별시 강남구 테헤란로51길 36-2 (역삼동),538.47,248.8,145.53,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19961009.0,19951007.0,0,0,0.0,167.76,58.49,417.38,제2종일반주거지역,60.0,250.0
203829.22,444863.76,서울특별시 강남구 역삼동 698-19번지,11680,10100,0,698,19,10241100253430,서울특별시 강남구 테헤란로51길 46 (역삼동),798.86,333.6,192.43,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,"공동주택,근린생활시설",5,1,20160429.0,20150914.0,1,0,1.0,188.03,57.68,627.27,제2종일반주거지역,60.0,250.0
203687.33,444788.77,서울특별시 강남구 역삼동 699-1번지,11680,10100,0,699,1,1024122434,서울특별시 강남구 언주로98길 5-4 (역삼동),658.38,208.0,103.42,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"근린생활시설, 단독주택",6,1,19930813.0,19930210.0,0,0,1.0,248.91,49.72,517.74,제2종일반주거지역,60.0,250.0
203757.96,444700.32,서울특별시 강남구 역삼동 700-27번지,11680,10100,0,700,27,1024116655,서울특별시 강남구 언주로94길 13 (역삼동),848.51,461.9,225.65,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"숙박시설, 근린생활시설",4,1,19760519.0,,0,0,0.0,143.49,48.85,662.76,제3종일반주거지역,50.0,300.0
203786.48,444713.02,서울특별시 강남구 역삼동 700-31번지,11680,10100,0,700,31,1024115673,서울특별시 강남구 테헤란로43길 19 (역삼동),1132.05,417.6,226.21,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,주거시설 근린생활시설,5,1,19981130.0,19970214.0,1,0,0.0,229.49,54.17,958.35,제3종일반주거지역,50.0,300.0
203716.94,444579.03,서울특별시 강남구 역삼동 701-1번지,11680,10100,0,701,1,10241100183134,서울특별시 강남구 언주로 506 (역삼동),21431.69,1562.0,769.11,21.0,철근콘크리트구조,철근콘크리트구조,14000,업무시설,"오피스텔,근린생활시설,숙박시설",18,7,20080526.0,20020322.0,2,1,1.0,798.91,49.24,12478.99,일반상업지역,80.0,800.0
203823.34,444653.87,서울특별시 강남구 역삼동 703-3번지,11680,10100,0,703,3,1024118143,서울특별시 강남구 테헤란로43길 12 (역삼동),1020.59,331.7,167.76,21.0,철근콘크리트구조,철근콘크리트라멘조,15000,숙박시설,숙박시설 근린생활시설,5,1,19880329.0,19870613.0,0,0,0.0,254.24,50.58,843.32,일반상업지역,80.0,800.0
204272.8,444535.34,서울특별시 강남구 역삼동 708-35번지,11680,10100,0,708,35,10241100270714,서울특별시 강남구 선릉로85길 6 (역삼동),11823.91,1011.4,602.08,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),14,5,20180502.0,20140612.0,2,1,1.0,773.99,59.53,7828.14,일반상업지역,80.0,800.0
203376.75,444292.69,서울특별시 강남구 역삼동 718-11번지,11680,10100,0,718,11,10241100206727,서울특별시 강남구 테헤란로28길 3-4 (역삼동),1999.3,319.0,186.38,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,11,2,20110713.0,20091130.0,1,0,1.0,558.75,58.43,1782.42,일반상업지역,80.0,800.0
203391.01,444277.05,서울특별시 강남구 역삼동 718-12번지,11680,10100,0,718,12,1024121536,서울특별시 강남구 언주로87길 50 (역삼동),1999.21,343.2,205.5,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설,여관",9,1,20020812.0,20010316.0,1,0,1.0,501.36,59.88,1720.67,일반상업지역,80.0,800.0
203390.32,444298.03,서울특별시 강남구 역삼동 718-13번지,11680,10100,0,718,13,10241100201088,서울특별시 강남구 테헤란로28길 3-6 (역삼동),1999.02,316.2,188.75,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,11,2,20100910.0,20060526.0,1,0,1.0,573.04,59.69,1811.95,일반상업지역,80.0,800.0
203403.96,444303.26,서울특별시 강남구 역삼동 718-15번지,11680,10100,0,718,15,1024116887,서울특별시 강남구 테헤란로28길 3-8 (역삼동),1370.52,317.9,188.8,42.0,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,숙박시설 위락시설,6,1,19821004.0,,0,0,0.0,356.34,59.39,1132.8,일반상업지역,80.0,800.0
203435.04,444314.98,서울특별시 강남구 역삼동 718-18번지,11680,10100,0,718,18,1024114588,서울특별시 강남구 테헤란로28길 3-12 (역삼동),1998.66,317.2,188.04,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,10,1,20040528.0,20020325.0,2,0,1.0,548.37,59.28,1739.43,일반상업지역,80.0,800.0
