구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
중구,명동,르메르디앙 서울 명동,2022,9,11.1,0.5121362399431111,0.1036,1.0,37.55896817,126.98192631
중구,명동,MOK HOSTEL,1954,7,42.9,1.1668880572200644,0.2009,0.45,37.55934315,126.98332654
중구,(남산동,올리브 호스텔,1993,0,0.0,2.677441572623574,0.4148,0.85,37.55561712,126.98432036
중구,(회현동,남산스토리 나인,1990,0,0.0,0.0192578166044145,0.42,0.25,37.5530029,126.97995879
중구,(저동,(주)조선호텔앤리조트 포포인츠 조선 명동,2020,2,0.0,0.4075593497112791,0.1065,0.08,37.56283151,126.98864042
중구,,코스모하버 인 명동2,1976,42,64.3,0.6087088614133708,0.1694,0.25,37.56414615,126.99675538
중구,황학동,모먼트맨션,1990,47,89.4,1.4319548452276067,0.1494,1.0,37.56394721,127.02058063
중구,(필동,G3호텔,2020,12,41.7,0.0285363072649343,0.1065,0.08,37.55907589,126.9921215
중구,(만리동,유에이치 스위트 더 서울,2019,27,63.0,0.5933967777928858,0.1079,1.0,37.55355582,126.96738568
중구,(남산동,보로인 명동,1986,0,0.0,2.0880996044229505,0.4272,0.85,37.55514884,126.98432696
중구,남학동,홈즈레드 명동,2018,0,0.0,0.6931471805599453,0.1094,0.7,37.55807414,126.99051213
중구,,노보텔 앰배서더 서울 동대문 호텔,2018,12,66.7,0.3220202100326725,0.1094,0.08,37.56352003,127.00356135
중구,(회현동,(주)조선호텔앤리조트 레스케이프,2018,41,75.6,0.2297880940328783,0.1094,0.85,37.55715446,126.97870364
중구,,호텔롯데 엘세븐명동,2015,24,79.2,0.8695457190507778,0.1136,0.7,37.55861521,126.98619248
중구,,라마다 바이 윈덤 서울 동대문 (RAMADA BY WYNDHAM SEOUL DONGDAEMUN),2006,22,86.4,0.780879174428781,0.1265,0.7,37.56322588,127.00182446
중구,(광희동,케이 게스트하우스 동대문프리미엄점,2008,32,81.2,2.688099414682861,0.1237,0.18,37.56094517,127.00596078
중구,(광희동,96번지,1988,24,58.3,0.9088557533866368,0.1523,0.7,37.56206664,127.0089649
중구,,코트야드 메리어트 서울 명동,2016,10,50.0,0.8166206081401566,0.1122,0.25,37.55844079,126.97613718
중구,,트레블로지 동대문 호텔,2016,41,80.5,0.5931547759524908,0.1122,0.85,37.563663,127.00109712
중구,(필동,픽셀스테이 명동점,1995,2,0.0,0.3039956479433046,0.1422,0.7,37.55888617,126.99138527
중구,명동,호텔 28,1972,14,57.1,1.3130221600135648,0.4518,0.35,37.56160377,126.98318249
중구,명동,호텔스카이파크명동Ⅱ,1995,26,73.1,2.1351521486938414,0.1422,0.85,37.56217058,126.98426358
중구,(명동,알로프트서울명동호텔,2016,6,0.0,0.9245514488815216,0.1122,0.7,37.55952462,126.98113677
중구,(남산동,원투쓰리호스텔,1996,0,0.0,2.6556884490078847,0.1408,0.12,37.55587082,126.98398358
중구,쌍림동,영빈호텔,1993,25,80.0,0.4660897299245992,0.1451,0.85,37.56030545,127.00475169
중구,,호텔 스카이파크 킹스타운 동대문지점,1996,8,75.0,2.502938151671187,0.1408,0.12,37.56589354,127.00694427
중구,초동,나인트리 바이 파르나스 서울 명동Ⅱ,2017,25,48.0,0.6931471805599453,0.1108,0.25,37.5615963,126.99013673
중구,(남산동,남산호스텔,1987,0,0.0,2.978187963903081,0.1536,0.12,37.5553408,126.98379252
중구,(저동,G2 호텔,1976,9,66.7,1.85077964762718,0.1694,0.08,37.56060529,126.98968153
중구,(남산동,오요 5 롯지B (OYO 5 Lodge B),1963,1,100.0,1.5410659661456148,0.4676,0.7,37.55646209,126.98424233
