구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1637,0.7023638356648694,0.18,50.0,2,1980,6,106.0,기존숙박군,37.56925877,127.006942,312.4,23.3
0.1766,0.3642775497015497,0.08,85.7,7,1971,6,88.0,기존숙박군,37.57009871,126.98769431,121.6,30.4
0.4165,1.4960019827707285,0.08,94.1,17,1992,6,77.0,기존숙박군,37.56957912,126.99966041,3198.4,9.5
0.1408,1.2840155119994725,0.12,0.0,2,1996,9,281.0,기존숙박군,37.56632523,126.98626896,13867.6,31.5
0.1022,0.8184642999558599,0.55,90.5,21,2023,13,914.0,기존숙박군,37.56665459,126.98850671,1828.2,13.1
0.1465,1.7394910406822983,0.08,0.0,2,1992,11,315.0,기존숙박군,37.56594442,126.98577426,15344.4,66.5
0.1766,0.414123170851279,0.08,0.0,0,1971,12,6074.0,기존숙박군,37.57038151,126.98267937,121.2,81.4
0.1108,1.6992974632002564,1.0,100.0,10,2017,16,171.0,기존숙박군,37.5705788,127.02004352,932.8,34.0
0.1851,1.244643844056864,1.0,63.2,76,1965,6,392.0,기존숙박군,37.57389547,126.9897488,107.2,13.0
0.4183,0.9573707576176196,0.25,73.7,19,1991,6,180.0,기존숙박군,37.56890164,127.00203539,132.6,92.5
0.1851,0.7206876474967924,0.12,87.5,24,1965,6,288.0,기존숙박군,37.56619998,126.99118829,83.6,18.1
0.1766,2.597384633214691,0.18,0.0,0,1971,7,228.0,기존숙박군,37.56915801,126.9800544,120.2,48.9
0.1365,0.3035351275471273,0.85,55.6,27,1999,4,258.0,기존숙박군,37.57248011,127.01971336,98872.8,31.2
0.1079,0.6931471805599453,1.0,67.6,37,2019,9,78.0,기존숙박군,37.57203715,127.00395269,13792.4,8.5
0.1065,0.8746092615811812,0.25,100.0,11,2020,11,2994.0,기존숙박군,37.57059843,127.01860129,1099.6,49.5
0.1079,1.0632729222228008,0.18,0.0,5,2019,20,19413.0,기존숙박군,37.57297519,126.99797784,845.8,58.9
0.1808,0.1482530044498824,0.08,0.0,6,1968,6,248.0,기존숙박군,37.56798355,127.00952148,501.2,27.9
0.1065,0.9408455369813622,0.45,71.4,21,2020,11,847.0,기존숙박군,37.56923344,126.98879056,178.4,23.3
0.4553,1.2512891288770671,0.85,46.7,30,1970,4,83.0,기존숙박군,37.57353634,127.0219178,219.8,18.1
0.1279,2.672021859258811,0.7,55.6,18,2005,8,1041.0,기존숙박군,37.57227399,126.98806987,110.0,16.5
0.1179,2.500969678805677,0.7,71.4,21,2012,10,365.0,기존숙박군,37.57179889,126.98893263,5423.6,3.8
0.1623,0.5596157879354227,0.55,0.0,5,1981,6,213.0,기존숙박군,37.56655068,126.98415388,439.0,54.2
0.1608,1.9997770917556368,1.0,40.0,10,1982,4,385.0,기존숙박군,37.56916257,127.01374879,382.6,38.6
0.1,1.0283354452521425,1.0,63.6,11,2025,12,1331.0,기존숙박군,37.57244418,127.00083322,363.2,55.0
0.1079,0.7940648516932153,0.7,90.9,22,2019,11,518.0,기존숙박군,37.57044997,127.01867554,140.4,34.7
0.1794,2.574111725223541,0.85,64.0,25,1969,10,6309.0,기존숙박군,37.56604937,126.99210865,61.6,13.4
0.1794,0.0564856021345574,0.85,71.4,14,1969,9,3292.0,기존숙박군,37.56737832,127.01474752,19251.2,53.4
0.138,2.6288008294480694,0.18,0.0,5,1998,8,349.0,기존숙박군,37.57929506,126.99713608,5363.8,52.9
0.1108,0.2694761079552084,0.25,100.0,2,2017,15,1998.0,기존숙박군,37.57109607,127.02145559,669.2,12.8
0.1465,0.2810012094609484,0.18,0.0,6,1992,6,152.0,기존숙박군,37.56790086,127.00943028,501.2,16.4
0.1565,0.4418327522790392,0.08,0.0,14,1985,6,293.0,기존숙박군,37.56597443,126.98782642,2488.2,84.7
0.115,1.2008429113170085,0.18,70.6,17,2014,15,4943.0,기존숙박군,37.57336561,126.99794846,1358.8,59.6
0.1394,2.3135541243646194,0.85,72.2,54,1997,6,1353.0,기존숙박군,37.57427525,126.99045283,101.6,19.9
0.1136,0.589606501619105,0.08,50.0,2,2015,23,17595.0,기존숙박군,37.56990125,126.98030475,106.0,53.6
0.1293,0.3467462995973981,0.18,74.2,31,2004,17,9969.0,기존숙박군,37.56913495,126.99733645,193.8,20.6
0.1122,1.8758425864385964,0.85,61.1,18,2016,12,1604.0,기존숙박군,37.5696394,126.98875606,86.6,8.4
0.1122,0.9974430536743816,1.0,88.9,18,2016,22,2997.0,기존숙박군,37.57050676,127.02206499,4016.0,28.7
0.1823,2.415417623490573,0.08,25.0,4,1967,14,588.0,기존숙박군,37.56622871,126.98353342,31.2,19.0
0.1179,2.7817292841849,0.7,47.4,19,2012,10,861.0,기존숙박군,37.57209924,126.98812931,198.6,23.5
0.1165,1.9857296100625288,0.7,77.3,22,2013,10,956.0,기존숙박군,37.57189895,126.98875238,5167.0,17.7
0.1523,0.9824726387554562,0.55,62.5,8,1988,11,4286.0,기존숙박군,37.57131629,126.9874005,51.0,39.4
0.1494,0.0,1.0,0.0,0,1990,6,3170.0,기존숙박군,37.60669991,126.97433044,320.0,72.4
0.1322,0.6194439847728106,0.08,94.7,19,2002,30,45510.0,기존숙박군,37.57025733,126.98654665,11538.6,24.7
