그리드ID,건물ID,구,법정동코드,법정동명,주소,지번,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,보정분자,보정사유
G50K_R0054_C0087,0000198609124484033900000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198610474482427800000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198617764484001000000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198626584484018900000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198627474482774700000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198630064482335400000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198630354482629700000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198644934483811800000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198646234483165800000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198647284483361900000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198647994482450100000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198674274482729200000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198676544483115300000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198678824482243300000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
