구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,창전동,휴고 하우스,2,고위험군,37.55154622,126.9290652,193731.8762,450227.4756,40.05087582,39.13761801581577,0.9132578041842336,6.7126259910812704
마포구,서교동,Hongdae Uncle Guesthouse,2,고위험군,37.55116063,126.9172854,192690.9128,450185.5303,35.60230669,42.32083450847504,-6.718527818475039,6.7126259910812704
마포구,서교동,사랑이네,0,중위험군,37.54749813,126.9157605,192555.8077,449779.1564,31.58564063,27.411105241288453,4.174535388711547,6.7126259910812704
마포구,연남동,케이글로벌,2,고위험군,37.56157876,126.9189412,192838.231,451341.6916,36.17574086,37.56742153961613,-1.3916806796161296,6.7126259910812704
마포구,연남동,앨리스하우스,2,고위험군,37.55859933,126.9207345,192996.3926,451010.8749,37.36048376,38.82357872057584,-1.4630949605758374,6.7126259910812704
마포구,서교동,스테이유영,2,고위험군,37.5498263,126.9215876,193070.9536,450037.1099,41.25943248,37.62808822165111,3.6313442583488893,6.7126259910812704
마포구,합정동,CHOI & HAUS,1,저위험군,37.54636516,126.9083444,191900.3259,449654.0235,33.44824194,38.38463743291094,-4.93639549291094,6.7126259910812704
마포구,연남동,스윗스토리,2,고위험군,37.56008275,126.9238696,193273.53,451175.288,34.72818298,42.25303056973005,-7.524847589730051,6.7126259910812704
마포구,동교동,메이플라워,2,고위험군,37.55624657,126.9241101,193294.44,450749.5003,40.94353006,37.62808822165111,3.315441838348889,6.7126259910812704
마포구,동교동,Haoguesthouse,0,중위험군,37.55264313,126.9307969,193884.9816,450349.1054,16.79140741,26.440438328728675,-9.649030918728673,6.7126259910812704
마포구,연남동,참새 나비 고양이,2,고위험군,37.55995805,126.9243375,193314.8582,451161.4144,46.59650178,37.50318622922614,9.093315550773859,6.7126259910812704
마포구,연남동,wave하우스,2,고위험군,37.55862898,126.9245199,193330.8636,451013.8904,40.81165154,37.442519547191154,3.369131992808846,6.7126259910812704
마포구,노고산동,ICOS,2,고위험군,37.55180929,126.9378652,194509.4982,450256.1228,55.10595235,58.08346595250643,-2.977513602506427,6.7126259910812704
마포구,서교동,헤이마 게스트하우스2,2,고위험군,37.5524961,126.9260272,193463.5012,450333.1078,35.40981698,37.50318622922614,-2.0933692492261358,6.7126259910812704
마포구,염리동,서울큐브이화,2,고위험군,37.55325642,126.9460708,195234.6726,450416.2893,37.46832942,39.326755318630724,-1.8584258986307205,6.7126259910812704
마포구,연남동,Roof 23,2,고위험군,37.55949572,126.9243134,193312.6937,451110.103,44.02714961,37.00357825952626,7.023571350473745,6.7126259910812704
마포구,연남동,Plantenor house,2,고위험군,37.55866169,126.9253644,193405.4772,451017.4612,41.91216171,37.62808822165111,4.284073488348888,6.7126259910812704
마포구,연남동,중전 하우스,0,중위험군,37.5575546,126.9177931,192736.4016,450895.1455,25.42636995,26.95075218349356,-1.524382233493558,6.7126259910812704
마포구,망원동,럭스리움,1,저위험군,37.55544104,126.8998035,191146.6362,450662.1077,24.78581413,31.26522386468757,-6.479409734687572,6.7126259910812704
