구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_단속위험도
중구,주교동,먼슬리브 을지로 광장시장 호텔 스테이[Monthliv Euljiro Gwangjang Market Hotel Stay],0,중위험군,37.56590912,126.9983882,199857.6048,451819.2235,22.59554452,32.353788331938745,-9.758243811938744,1.7136683186442125
중구,서소문동,THE VILLA 23,0,중위험군,37.56112681,126.97476,197769.9615,451288.7416,30.53976772,33.10012494454517,-2.5603572245451716,1.7136683186442125
중구,황학동,FRGE (에프알지이),0,중위험군,37.56738069,127.020034,201769.9179,451982.738,28.47413329,31.0082787440417,-2.534145454041699,1.7136683186442125
중구,충무로2가,트래비스타 호스텔,0,중위험군,37.55986394,126.9889152,199020.6073,451148.3363,25.39347081,31.487092370300886,-6.093621560300885,1.7136683186442125
중구,(명동,HISTAY HOSTEL,1,저위험군,37.56027363,126.9814079,198357.3094,451193.9118,26.39627143,33.87613121852346,-7.479859788523463,1.7136683186442125
중구,명동,르메르디앙 서울 명동,0,중위험군,37.55896817,126.9819263,198403.0836,451049.0122,26.2215444,31.987553561797927,-5.766009161797928,1.7136683186442125
중구,명동,MOK HOSTEL,1,저위험군,37.55934315,126.9833265,198526.8095,451090.6077,33.98173341,33.31229603246591,0.6694373775340878,1.7136683186442125
중구,(남산동,올리브 호스텔,2,고위험군,37.55561712,126.9843204,198614.5499,450677.0475,45.54906612,36.3685600166284,9.180506103371599,1.7136683186442125
중구,(회현동,남산스토리 나인,1,저위험군,37.5530029,126.9799588,198229.1005,450386.9735,31.95824836,30.99032535582571,0.9679230041742883,1.7136683186442125
중구,(저동,(주)조선호텔앤리조트 포포인츠 조선 명동,1,저위험군,37.56283151,126.9886404,198996.3664,451477.7044,7.805893001,31.77596583643943,-23.970072835439428,1.7136683186442125
중구,을지로4가,코스모하버 인 명동2,1,저위험군,37.56414615,126.9967554,199713.3386,451623.5583,17.2235547,32.18294645605304,-14.959391756053037,1.7136683186442125
중구,황학동,모먼트맨션,0,중위험군,37.56394721,127.0205806,201818.2983,451601.6724,29.39322227,33.848598830732364,-4.455376560732365,1.7136683186442125
중구,(필동,G3호텔,1,저위험군,37.55907589,126.9921215,199303.8894,451060.8435,18.76137306,31.00909828542671,-12.24772522542671,1.7136683186442125
중구,(만리동,유에이치 스위트 더 서울,0,중위험군,37.55355582,126.9673857,197118.1252,450448.6522,30.69696404,32.15196591329191,-1.4550018732919092,1.7136683186442125
