구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_도로폭위험도
중구,(남산동,어반 스위트 스테이 (Urban Suite Stay),1,저위험군,37.55599413,126.9847381,198651.4646,450718.8851,15.95493728,25.113428971796402,-9.158491691796403,5.385803882931744
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,34.036476690883546,4.415342039116453,5.385803882931744
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,36.34416144581988,0.8431146441801189,5.385803882931744
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,38.65184620075621,8.822718929243791,5.385803882931744
중구,을지로5가,안온 스테이,1,저위험군,37.56281707,127.001911,200168.8394,451476.0428,22.00564794,24.498046370480047,-2.4923984304800477,5.385803882931744
중구,명동,하이 서울 호스텔 명동 명동 웨스트,1,저위험군,37.55926806,126.9876751,198911.029,451082.2143,17.67306268,25.113428971796402,-7.440366291796401,5.385803882931744
중구,황학동,유어모먼트,0,중위험군,37.56647742,127.0223181,201971.7344,451882.5311,29.05164303,36.34416144581988,-7.2925184158198775,5.385803882931744
중구,중림동,라서울 스테이,1,저위험군,37.55608468,126.9681435,197185.1786,450729.3025,26.24805979,26.036502873770935,0.21155691622906403,5.385803882931744
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,34.036476690883546,0.4997064391164514,5.385803882931744
중구,북창동,한 스위트 서울,0,중위험군,37.55960572,126.9768368,197953.4112,451119.8714,30.6122313,38.65184620075621,-8.03961490075621,5.385803882931744
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,27.113422426074557,8.054086623925443,5.385803882931744
중구,충무로3가,트레블로지 명동 남산,1,저위험군,37.55981918,126.9899828,199114.9326,451143.3579,11.82885025,24.498046370480047,-12.669196120480047,5.385803882931744
중구,남대문로5가,스테이 한가온 명동,1,저위험군,37.55543671,126.9749461,197786.2331,450657.2036,35.03459486,24.498046370480047,10.536548489519951,5.385803882931744
중구,충무로4가,제이빌스,0,중위험군,37.55987697,126.9937168,199444.8474,451149.7433,28.94925022,34.036476690883546,-5.087226470883547,5.385803882931744
중구,다동,호텔 미드시티 명동,1,저위험군,37.56491356,126.9803153,198260.8805,451708.909,29.88759052,28.65187892936544,1.2357115906345584,5.385803882931744
중구,명동,헨나호텔서울명동,1,저위험군,37.55927368,126.9875309,198898.282,451082.8398,12.62878381,25.113428971796402,-12.484645161796402,5.385803882931744
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,27.113422426074557,6.931194183925442,5.385803882931744
중구,(필동,라임스테이 명동 호스텔,1,저위험군,37.55847797,126.9942617,199492.9807,450994.4678,28.29292059,30.19033543265633,-1.8974148426563282,5.385803882931744
중구,충무로2가,호스텔 고울,1,저위험군,37.56006354,126.98896,199024.5629,451170.4891,18.44214096,23.882663769163692,-5.440522809163692,5.385803882931744
중구,주교동,먼슬리브 을지로 광장시장 호텔 스테이[Monthliv Euljiro Gwangjang Market Hotel Stay],0,중위험군,37.56590912,126.9983882,199857.6048,451819.2235,22.59554452,34.036476690883546,-11.440932170883546,5.385803882931744
중구,서소문동,THE VILLA 23,0,중위험군,37.56112681,126.97476,197769.9615,451288.7416,30.53976772,34.036476690883546,-3.496708970883546,5.385803882931744
중구,황학동,FRGE (에프알지이),0,중위험군,37.56738069,127.020034,201769.9179,451982.738,28.47413329,38.65184620075621,-10.17771291075621,5.385803882931744
중구,충무로2가,트래비스타 호스텔,0,중위험군,37.55986394,126.9889152,199020.6073,451148.3363,25.39347081,34.036476690883546,-8.643005880883546,5.385803882931744
