구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,r50m_property_fire_count,r50m_property_fire_exists,r50m_property_damage_sum_천원,log1p_r50m_property_damage_sum_천원,r50m_property_damage_max_천원,nearest_property_fire_distance_m
종로구,당주동,포시즌스 호텔 서울,2015,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,관광숙박업,호텔,32,67265.0,63.42,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,154.46646536070185
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,관광숙박업,숙박시설,4,469.0,42.29,exact,기존숙박군,보통,보통,3,1,4183.0,8.339023005744759,4152.0,30.412433506723605
종로구,운니동,노블관광호텔,2005,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,관광숙박업,숙박시설,6,1229.0,25.32,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,83.83237111690094
종로구,와룡동,바운드 호스텔,2013,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,관광숙박업,숙박시설,6,1482.0,38.85,exact,기존숙박군,보통,보통,3,1,230.0,5.442417710521793,129.0,42.12997749876734
종로구,익선동,호텔 이비스앰배서더 인사동,2013,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,관광숙박업,호텔,12,14346.0,21.36,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,54.0342855612996
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,2015,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,관광숙박업,숙박시설,16,41731.0,24.49,exact,기존숙박군,안전,안전,1,1,462.0,6.137727054086234,462.0,36.89776552308251
종로구,인사동,도미인 익스프레스 서울 인사동,2018,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,관광숙박업,호텔,16,4543.0,35.69,exact,기존숙박군,안전,보통,3,1,5028.0,8.522976436171964,5012.0,33.738102858079905
종로구,효제동,더도아스테이,2020,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,관광숙박업,업무시설,11,95.0,41.48,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,102.2240442927042
종로구,창신동,케이스테이,1970,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,관광숙박업,숙박시설,6,498.0,31.56,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,110.44247230661912
종로구,창신동,오리지날 백패커스,1966,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024,관광숙박업,숙박시설,6,276.0,34.61,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,65.29047191601403
중구,장충동,앰배서더 서울 풀만 호텔,1963,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709,숙박업,"숙박시설,호텔, 관광호텔, 관람집회시설, 근린생활시설, 영업, 운동시설",20,32899.27,65.74,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,106.2832897491098
성동구,성동,호텔 포코 성수,2014,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,관광숙박업,관광호텔,13,3177.53,28.78,exact,기존숙박군,안전,안전,1,1,189.0,5.247024072160486,189.0,42.23317885284925
중구,회현동,루미아 호텔,2015,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241,관광숙박업,호텔,6,956.0,14.35,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,106.99164367893167
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765,관광숙박업,호텔,25,12563.0,33.04,exact,기존숙박군,안전,안전,1,1,110.0,4.709530201312334,110.0,35.77600621050114
중구,명동,호텔 크레토,2015,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931,관광숙박업,관광호텔,10,1377.0,11.38,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,83.08080769914007
중구,남창동,24게스트하우스 명동타운점,1964,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019,관광숙박업,"업무시설, 제1종근린생활시설",11,267.0,51.4,exact,기존숙박군,보통,위험,1,1,58.0,4.07753744390572,58.0,45.33641172852878
중구,쌍림동,호텔 더 디자이너스 동대문,2015,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,관광숙박업,관광호텔,20,4804.0,48.98,exact,기존숙박군,보통,위험,2,1,47379.0,10.765955477712776,47359.0,36.57091029135738
중구,명동,솔라리아 니시테츠 호텔 서울 명동,1971,23,69.6,1.7060041108251514,0.1766,0.7,37.55974994,126.98437425,관광숙박업,호텔,24,12389.0,31.78,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,88.12175065791973
중구,태평로2가,24게스트하우스 서울시청점,1960,3,0.0,2.1118068261818674,0.1922,0.55,37.56195615,126.97553552,관광숙박업,제2종근린생활시설,6,358.0,58.65,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,142.56660120901833
중구,명동,호텔 스카이파크 센트럴 명동점,2002,28,85.7,2.0163512467186298,0.1322,0.85,37.56189383,126.9844402,관광숙박업,"숙박시설, 제2종근린생활시설",23,18586.0,36.31,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,58.89374041936466
중구,을지로5가,에이큐브 호텔,1985,49,85.7,0.6879433526849182,0.1565,0.85,37.56347491,127.00124884,관광숙박업,"관광숙박시설, 근린생활시설",10,2387.0,58.95,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,73.27459551097382
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,2015,15,73.3,0.123132685403624,0.1136,0.85,37.55930346,126.97797124,관광숙박업,관광숙박시설(관광호텔),22,18599.0,27.65,exact,기존숙박군,안전,안전,2,1,50.0,3.9318256327243257,39.0,35.71374942391463
중구,주교동,2U호스텔,1967,21,0.0,1.9250905212729232,0.1823,1.0,37.56586745,126.99740093,관광숙박업,"점포, 사무실, 숙박시설",5,358.0,56.73,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,94.17278123005826
