구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_km,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_km,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_km,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_km,nearest5_fire_year
종로구,창신동,호스텔 메가 동대문역,37.56790086,127.00943028,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,501.2,480.0,0.016403337037044257,0.0521842522051343,1100,0.016403337037044257,2023,480,0.028292826296039478,2024,749,0.07046823951825266,2019,60,0.07152901403015914,2022,117,0.07422784414417595,2024
종로구,봉익동,포레스트 스테이 종로,37.57018563,126.99144197,11,81.8,0.3761947258080512,0.1251,0.08,5,285.0,197.4,11.0,0.04881978906621586,0.05838529426102588,803,0.04881978906621586,2023,172,0.05632772578592161,2021,11,0.05645471224236793,2018,0,0.06208099264314032,2023,1,0.06824325156748369,2021
종로구,관철동,MOMENTO HOSTEL,37.56655742,126.98379997,4,0.0,0.6931471805599453,0.1937,0.12,5,435.0,439.0,102.0,0.023306025054940355,0.051330793098691506,11,0.023306025054940355,2022,102,0.052348581881120765,2024,16,0.06033290052395716,2021,1650,0.06033290052395716,2017,416,0.060333557509482126,2023
종로구,숭인동,더온재,37.57228397,127.02039051,9,33.3,0.7105211484959985,0.1436,0.85,5,152.0,98790.2,147.0,0.022585070402259967,0.05006966589632404,56,0.022585070402259967,2022,56,0.022585070402259967,2022,469,0.052828786745720564,2022,493223,0.07259275813465463,2017,147,0.07975664379672508,2018
중구,남창동,케이팝 서울타워 호스텔,37.55403706,126.97637629,14,42.9,0.6931471805599453,0.115,0.55,5,488.0,78.8,49.0,0.05160376769486184,0.08004378897549709,283,0.05160376769486184,2021,11,0.07020007821478347,2024,49,0.07903903006544226,2020,50,0.09699103425398971,2017,1,0.10238503464840817,2018
종로구,창신동,247 HOSTEL SEOUL,37.56817447,127.01314811,5,20.0,2.290649742444773,0.1509,0.25,5,261.0,1655.4,205.0,0.07812642757423385,0.09803967138662245,7700,0.07812642757423385,2019,205,0.08570578681166809,2022,49,0.10036938325782316,2017,113,0.11180608734413117,2022,210,0.114190671945256,2022
종로구,관철동,찰나 호스텔,37.56664615,126.98332934,3,0.0,1.0608719606852626,0.1708,0.08,7,104.0,418.8,16.0,0.024302444303179703,0.02708817977166541,11,0.024302444303179703,2022,16,0.026765926043282623,2021,1650,0.026765926043282623,2017,416,0.026766997060285666,2023,1,0.03083960540829643,2018
종로구,종로2가,스테이울림,37.56718514,126.98358024,15,33.3,1.2794312155775294,0.1752,0.55,8,104.0,474.0,239.0,0.04500389687500325,0.04987186510388234,416,0.04500389687500325,2023,1650,0.04500474068893557,2017,16,0.04500474068893557,2021,49,0.048254910910984855,2017,239,0.06609103635555247,2023
종로구,종로5가,편안정 종로5가점,37.56810507,127.0045472,12,0.0,0.0130720815673527,0.1823,0.08,7,91.0,980.0,466.0,0.10857152284273651,0.13868238082886666,132,0.10857152284273651,2018,2002,0.1376316521916248,2018,2206,0.14088884079173683,2023,466,0.1509371843623787,2018,94,0.1553827039558565,2019
종로구,창신동,동대문 스테이가든,37.56946846,127.01349641,6,100.0,1.8129221675840912,0.4747,0.25,2,226.0,160.0,17.0,0.019267171756780443,0.04676440502471132,11,0.019267171756780443,2020,30,0.03264736337718563,2017,731,0.041425522005473066,2023,17,0.06980169584547137,2023,11,0.07068027213864607,2019
종로구,종로5가,고유리(Goyu;re),37.56730221,127.0037223,5,0.0,0.0575238441381866,0.1708,0.08,5,64.0,655.4,266.0,0.08512516020966521,0.1062390633905905,266,0.08512516020966521,2019,2528,0.09210766959117657,2018,56,0.09210766959117657,2019,15,0.1258181908983134,2019,412,0.1360366266626208,2017
종로구,충신동,온코리아 스테이,37.57265524,127.00336668,8,75.0,0.8026314134016336,0.1436,1.0,6,299.0,4317.0,430.0,0.09028777132582871,0.0946639343356632,20,0.09028777132582871,2021,5073,0.094207670658182,2019,430,0.094207670658182,2018,16049,0.09533697008368393,2023,13,0.09927958895243941,2018
종로구,낙원동,하프레스트 호스텔,37.56953983,126.98762245,16,75.0,1.5746285077682394,0.5361,0.08,7,554.0,39.8,27.0,0.019705571507665942,0.040454988166862875,55,0.019705571507665942,2022,27,0.022072530471421718,2021,12,0.05104610730030839,2019,100,0.051361905024436404,2017,5,0.058088826530481925,2024
종로구,숭인동,엔조이스테이 호스텔,37.57029351,127.01912285,48,66.7,1.1337273076890122,0.1011,0.7,5,596.0,8200.6,108.0,0.02116939312089956,0.04671248323806047,36,0.02116939312089956,2017,3,0.031362004797033376,2018,108,0.052892862318446775,2021,40438,0.058310667475076655,2024,418,0.06982748847884598,2023
종로구,창신동,이온호텔,37.56975326,127.01196959,3,66.7,1.6502405363066972,0.1036,0.18,8,963.0,686.2,22.0,0.035139167970841545,0.05758810435164715,0,0.035139167970841545,2022,22,0.051603950444843415,2024,2169,0.05748742960288282,2020,11,0.06413155349823295,2020,1229,0.07957842024143501,2019
종로구,관철동,오아시스 트레블러스 종로,37.56702341,126.98663866,1,0.0,1.652923024373839,0.1794,0.55,7,183.0,12439.0,100.0,0.06933564913421379,0.1029475500605423,61756,0.06933564913421379,2021,330,0.07548243841476406,2019,100,0.07874213661627116,2018,9,0.12844334857399317,2022,0,0.16273417756346936,2022
종로구,관철동,스테이 마루 종로,37.56669767,126.98479778,3,0.0,0.3677247801253173,0.4641,0.55,8,234.0,312.6,107.0,0.06125240042457498,0.10804567371967097,107,0.06125240042457498,2019,239,0.09630951707801158,2023,11,0.11258711900497519,2022,1104,0.1320670858138054,2021,102,0.1380122462769877,2024
종로구,창신동,동대문인순,37.56877711,127.01021919,2,50.0,2.585960082443016,0.2295,0.08,6,46.0,14322746.8,50.0,0.01679558118010015,0.0760643377550636,50,0.01679558118010015,2017,15,0.05995228506561625,2018,302,0.08820211486402285,2018,31,0.10610426929413386,2022,71613336,0.1092674383714449,2019
종로구,권농동,스테이 종로 온당,37.57416521,126.99046732,66,71.2,2.277267285009756,0.1222,0.85,3,140.0,101.6,62.0,0.009619257608319451,0.0351256263426134,330,0.009619257608319451,2017,16,0.03113256476094452,2023,62,0.03433837183599112,2022,89,0.05000317670703821,2023,11,0.05053476080077372,2018
종로구,종로6가,편안정,37.56925877,127.006942,2,50.0,0.7023638356648694,0.1637,0.18,6,106.0,312.4,30.0,0.0232729943997374,0.059895200577636046,215,0.0232729943997374,2019,11,0.034368046562608785,2023,1277,0.06973846811853497,2018,29,0.07158752916111323,2022,30,0.10050896464618578,2019
