구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,연면적,건물나이_2026,AHP_전체변수,EWM_전체변수,AHP순위,EWM순위,순위차_EWM-AHP
중구,명동,호텔 스카이파크 센트럴 명동점,2002,0.184,28,85.7,2.0163512467186298,0.1322,0.85,37.56189383,126.9844402,관광숙박업,"숙박시설, 제2종근린생활시설",23,18586.0,24,32.72068963540381,15.729494748707248,2121,680,-1441
중구,을지로5가,에이큐브 호텔,1985,0.3349,49,85.7,0.6879433526849182,0.1565,0.85,37.56347491,127.00124884,관광숙박업,"관광숙박시설, 근린생활시설",10,2387.0,41,39.04816136075903,15.048425963805547,1266,889,-377
중구,북창동,소테츠호텔즈 더 스프라지르 서울 명동,2015,0.2112,15,73.3,0.123132685403624,0.1136,0.85,37.55930346,126.97797124,관광숙박업,관광숙박시설(관광호텔),22,18599.0,11,28.815919569423187,11.457452231301529,2643,2206,-437
중구,주교동,2U호스텔,1967,0.251,21,0.0,1.9250905212729232,0.1823,1.0,37.56586745,126.99740093,관광숙박업,"점포, 사무실, 숙박시설",5,358.0,59,32.37737626191871,10.536952545809186,2166,2508,342
중구,장교동,롯데시티호텔명동,2015,0.2423,3,0.0,0.752336051950276,0.1136,0.08,37.56418691,126.9872883,관광숙박업,관광호텔,30,25334.0,11,10.869997698991902,5.689343187234022,4139,3803,-336
중구,충무로2가,호텔 스카이파크3,1969,0.1086,27,81.5,0.7798304197287472,0.1794,1.0,37.55856041,126.98658709,관광숙박업,호텔,11,5866.0,57,32.48421931785527,14.048579190224778,2154,1219,-935
중구,남산동,자자백팩커스,1985,0.1457,0,0.0,0.0,0.1565,0.85,37.55605441,126.98563136,관광숙박업,숙박시설,5,608.0,41,21.00744501349671,5.265846911421907,3544,3895,351
중구,명동,서울 라이트 인 명동,1969,0.1658,19,68.4,1.7510884294971272,0.1794,0.35,37.56145726,126.98456352,관광숙박업,"사무실, 근린생활시설,숙박시설",17,506.0,57,22.934671503080335,12.105849914454218,3363,1968,-1395
중구,남산동,오요5,1983,0.1175,1,100.0,2.128231705849268,0.1594,0.12,37.55618747,126.98405523,관광숙박업,"숙박시설, 주택",5,611.0,43,17.742284378395773,10.583510972061964,3803,2500,-1303
중구,남산동,오요6(OYO6),2011,0.1086,3,100.0,1.845368919833436,0.1194,0.7,37.55655506,126.98441998,관광숙박업,제2종근린생활시설,6,260.0,15,25.63106286044074,11.468319043179255,3051,2203,-848
중구,을지로6가,케이스타호텔,1986,0.2954,19,47.4,0.6931471805599453,0.1551,0.85,37.56374548,127.00581237,관광숙박업,"업무시설, 근린생활시설",15,5706.0,40,32.52515884432113,11.359319925874855,2150,2248,98
중구,주교동,엘림 호스텔,1968,0.3626,34,58.8,0.1177830356563834,0.1808,0.7,37.56629135,127.00045147,관광숙박업,"영업, 관광숙박시설",6,880.5,58,34.621236514326796,11.73838597753964,1855,2113,258
중구,을지로3가,로스터블록,1971,0.0838,37,78.4,0.2993933318726824,0.1766,1.0,37.56339033,126.99268792,관광숙박업,"주택, 점포",3,116.2,55,31.195248426315764,12.961272509755881,2311,1627,-684
중구,회현동,제이오너 호스텔,2006,0.1506,3,0.0,0.7282385003712154,0.1265,0.08,37.55530397,126.98284082,관광숙박업,숙박시설,4,613.0,20,7.53752959649439,2.7034873123237384,4221,4188,-33
중구,충무로5가,머룸스테이,1955,0.3135,32,62.5,0.5643439291313687,0.4817,0.45,37.56119377,127.00084581,관광숙박업,숙박시설,2,43.0,71,35.31047422215301,14.285654742543732,1751,1154,-597
중구,광희동,STAY ON,1966,0.3318,9,55.6,1.0736109864626924,0.1837,1.0,37.5618116,127.00675249,관광숙박업,영업,6,79.0,60,37.96078388108345,12.082480516678409,1410,1973,563
중구,을지로7가,라하 부티크 디디피,2012,0.2597,24,95.8,0.4663738611951568,0.1179,0.85,37.56262124,127.0082658,관광숙박업,"제1종근린생활시설, 업무시설, 관광숙박시설",13,328.0,14,33.426929014340196,12.564082352559863,2025,1774,-251
중구,회현동,호텔 블리스 I,2025,0.0898,9,88.9,0.5616258388634469,0.1,0.08,37.55681031,126.98310837,관광숙박업,관광숙박시설,8,1048.0,1,11.35024906338855,7.092582694482162,4123,3496,-627
