gu_key,dong_key,gu_label,gwr_factor,mgwr_factor
Yeongdeungpo-gu,문래동2가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,영등포동3가,영등포구,소방위험,데이터 없음
Seongdong-gu,상왕십리동,성동구,데이터 없음,데이터 없음
Seongbuk-gu,상월곡동,성북구,데이터 없음,데이터 없음
Seongbuk-gu,안암동5가,성북구,데이터 없음,데이터 없음
Seongdong-gu,금호동4가,성동구,단속위험,데이터 없음
Yongsan-gu,갈월동,용산구,주변건물수,노후도
Yeongdeungpo-gu,영등포동6가,영등포구,주변건물수,데이터 없음
Seocho-gu,내곡동,서초구,데이터 없음,데이터 없음
Seodaemun-gu,북아현동,서대문구,데이터 없음,데이터 없음
Seongbuk-gu,하월곡동,성북구,데이터 없음,데이터 없음
Seongdong-gu,성수동1가,성동구,노후도,데이터 없음
Yeongdeungpo-gu,영등포동7가,영등포구,데이터 없음,데이터 없음
Gwangjin-gu,자양동,광진구,소방위험,데이터 없음
Seongbuk-gu,성북동,성북구,데이터 없음,데이터 없음
Yongsan-gu,용산동1가,용산구,소방위험,데이터 없음
Yongsan-gu,도원동,용산구,데이터 없음,데이터 없음
Yongsan-gu,산천동,용산구,주변건물수,데이터 없음
Yongsan-gu,원효로2가,용산구,집중도,데이터 없음
Yeongdeungpo-gu,문래동6가,영등포구,주변건물수,데이터 없음
Yongsan-gu,청암동,용산구,주변건물수,데이터 없음
Yeongdeungpo-gu,영등포동2가,영등포구,데이터 없음,데이터 없음
Yeongdeungpo-gu,문래동3가,영등포구,주변건물수,데이터 없음
Yongsan-gu,서계동,용산구,단속위험,노후도
Yeongdeungpo-gu,영등포동8가,영등포구,데이터 없음,데이터 없음
Seongbuk-gu,삼선동2가,성북구,데이터 없음,데이터 없음
Songpa-gu,신천동,송파구,노후도,데이터 없음
Yeongdeungpo-gu,영등포동4가,영등포구,주변건물수,데이터 없음
Yongsan-gu,용산동5가,용산구,데이터 없음,데이터 없음
Yeongdeungpo-gu,양평동5가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,당산동1가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,대림동,영등포구,노후도,노후도
Seongbuk-gu,동선동1가,성북구,데이터 없음,데이터 없음
Yeongdeungpo-gu,양평동1가,영등포구,데이터 없음,데이터 없음
Yongsan-gu,용산동3가,용산구,집중도,데이터 없음
Yeongdeungpo-gu,문래동1가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,여의도동,영등포구,단속위험,데이터 없음
Yeongdeungpo-gu,양평동4가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,영등포동5가,영등포구,데이터 없음,데이터 없음
Seongdong-gu,응봉동,성동구,단속위험,노후도
Songpa-gu,마천동,송파구,주변건물수,데이터 없음
Seongdong-gu,송정동,성동구,데이터 없음,도로폭위험
Yongsan-gu,신계동,용산구,집중도,데이터 없음
Yongsan-gu,서빙고동,용산구,노후도,데이터 없음
Yongsan-gu,주성동,용산구,노후도,데이터 없음
Yongsan-gu,문배동,용산구,데이터 없음,데이터 없음
Yongsan-gu,용산동4가,용산구,노후도,데이터 없음
Yongsan-gu,원효로1가,용산구,도로폭위험,노후도
