구,동,숙소명,위도,경도,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,업종,건물용도명,match_radius_m,fire_count_within_match_radius,is_train_matched,split,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_mean_distance_m,nearest1_distance_m,nearest1_damage_thousand_krw,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_m,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_m,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_m,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_m,nearest5_fire_year,predicted_damage_thousand_krw,prediction_model,pred_linear_raw_damage_thousand_krw,pred_ridge_log1p_damage_thousand_krw,pred_random_forest_log1p_damage_thousand_krw
종로구,충신동,연경당,37.57203715,127.00395269,2019,37,67.6,0.6931471805599453,0.1079,1.0,9,78.0,관광숙박업,제1종근린생활시설,44,4,1,train_matched,13792.4,1650.0,27.392626092698993,8.536157814466188,430,2018,5073,8.536157814466188,2019,1650,22.801421702683445,2019,61782,22.801759286854313,2024,27,74.28763384502481,2023,2195.70323587789,random_forest_log1p,0.0,2636.5831049191306,2195.70323587789
종로구,숭인동,호텔 DM,37.57059843,127.01860129,2020,11,100.0,0.8746092615811812,0.1065,0.25,11,2994.0,관광숙박업,숙박시설,44,0,0,test_unmatched,1099.6,108.0,56.133332539266554,49.63203030065285,108,2021,137,49.99333867668105,2020,3,54.7913497617806,2018,5214,62.97515911999685,2023,36,63.27478483722141,2017,1070.574586780987,random_forest_log1p,270503.47867950296,1044.431618140008,1070.574586780987
종로구,원남동,오라카이 대학로 호텔,37.57297519,126.99797784,2019,5,0.0,1.0632729222228008,0.1079,0.18,20,19413.0,관광숙박업,숙박시설,44,0,0,test_unmatched,845.8,193.0,83.09046757202431,58.85401045872812,0,2024,784,61.142826954702066,2022,193,93.05008367698139,2023,45,101.14547114679452,2022,3207,101.25994562291544,2018,1872.5200359840403,random_forest_log1p,345330.44719495263,1547.1462682755812,1872.5200359840403
종로구,창신동,D-STAY HOSTEL,37.56798355,127.00952148,1968,6,0.0,0.1482530044498824,0.1808,0.08,6,248.0,관광숙박업,숙박시설,44,2,1,train_matched,501.2,480.0,58.628500790677606,27.925999906097694,1100,2023,480,29.533830145075342,2024,60,75.92995784887056,2022,749,78.06134679522664,2019,117,81.6913692581178,2024,1096.8613828521168,random_forest_log1p,1591874.1718314,4632.708426340933,1096.8613828521168
종로구,돈의동,더 메이 호텔,37.56923344,126.98879056,2020,21,71.4,0.9408455369813622,0.1065,0.45,11,847.0,관광숙박업,숙박시설,44,6,1,train_matched,178.4,99.0,31.417037598928225,23.244585771204367,0,2024,301,26.70323012958868,2021,470,27.99792987955178,2020,22,38.20554681274179,2019,99,40.933895401554516,2018,697.1789005643354,random_forest_log1p,164586.29682456056,1496.9930983340241,697.1789005643354
종로구,숭인동,루나하우스,37.57353634,127.0219178,1970,30,46.7,1.2512891288770671,0.4553,0.85,4,83.0,관광숙박업,숙박시설,44,4,1,train_matched,219.8,50.0,38.80649113043539,18.082878317870072,0,2024,50,31.302242741824486,2020,55,37.03197578296761,2017,990,42.396367371925734,2019,4,65.21899143758904,2020,591.9265334257246,random_forest_log1p,350959.49887513305,1038.6427158526178,591.9265334257246
종로구,익선동,엠제이호텔,37.57227399,126.98806987,2005,18,55.6,2.672021859258811,0.1279,0.7,8,1041.0,관광숙박업,숙박시설,44,4,1,train_matched,110.0,110.0,28.139041186544016,16.449856179623403,162,2022,5,22.824493116466872,2018,0,26.399644610979216,2019,273,28.8883439306888,2018,110,46.13286809496178,2017,308.66604410291296,random_forest_log1p,180920.37148740166,1006.6278332771864,308.66604410291296
종로구,익선동,킹스가든,37.57179889,126.98893263,2012,21,71.4,2.500969678805677,0.1179,0.7,10,365.0,관광숙박업,숙박시설,44,9,1,train_matched,5423.6,364.0,23.445986882052658,3.8193934177575617,24920,2020,11,27.654569677936617,2020,364,27.654569677936617,2017,47,27.654569677936617,2017,1776,30.44683195869587,2021,1309.9210917588064,random_forest_log1p,135136.10364627064,965.4141999961688,1309.9210917588064
종로구,관철동,수레지던스,37.56655068,126.98415388,1981,5,0.0,0.5596157879354227,0.1623,0.55,6,213.0,관광숙박업,숙박시설,44,0,0,test_unmatched,439.0,102.0,79.31166219381961,54.05069306796229,11,2022,102,79.19409668168267,2024,16,87.77102004049442,2021,1650,87.77102004049442,2017,416,87.77148113846432,2023,836.4207513841337,random_forest_log1p,153949.4903974287,1238.4946411510853,836.4207513841337
종로구,창신동,동대문 서울달빛,37.56916257,127.01374879,1982,10,40.0,1.9997770917556368,0.1608,1.0,4,385.0,관광숙박업,숙박시설,44,1,1,train_matched,442.8,210.0,65.79797775074356,38.61299537369236,731,2023,11,51.870828276118885,2020,30,53.31373770425232,2017,1232,92.48150537345279,2019,210,92.7108220262014,2022,3136.6401208779444,random_forest_log1p,1659657.0657825642,2628.163443610654,3136.6401208779444
