구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,숭인동,호텔 DM,2020,0.3044,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,201643.27750080585,452339.8436264887,2,관광숙박업,숙박시설,11,2994.0
종로구,원남동,오라카이 대학로 호텔,2019,0.2308,5,0.0,1.0632729222228008,0.1079,0.18,37.57297519,126.99797784,199821.3637646393,452603.47566635,1,관광숙박업,숙박시설,20,19413.0
종로구,창신동,D-STAY HOSTEL,1968,0.1266,6,0.0,0.1482530044498824,0.1808,0.08,37.56798355,127.00952148,200841.1771873129,452049.5023978533,2,관광숙박업,숙박시설,6,248.0
종로구,돈의동,더 메이 호텔,2020,0.1735,21,71.4,0.9408455369813622,0.1065,0.45,37.56923344,126.98879056,199009.71617253908,452188.2420502248,0,관광숙박업,숙박시설,11,847.0
종로구,숭인동,루나하우스,1970,0.2056,30,46.7,1.2512891288770671,0.4553,0.85,37.57353634,127.0219178,201936.18898915735,452665.9807155389,0,관광숙박업,숙박시설,4,83.0
종로구,익선동,엠제이호텔,2005,0.1761,18,55.6,2.672021859258811,0.1279,0.7,37.57227399,126.98806987,198946.0905686869,452525.7155790665,1,관광숙박업,숙박시설,8,1041.0
종로구,익선동,킹스가든,2012,0.1433,21,71.4,2.500969678805677,0.1179,0.7,37.57179889,126.98893263,199022.3007029637,452472.97566592233,1,관광숙박업,숙박시설,10,365.0
종로구,관철동,수레지던스,1981,0.4058,5,0.0,0.5596157879354227,0.1623,0.55,37.56655068,126.98415388,198600.04431997173,451890.5460008952,1,관광숙박업,숙박시설,6,213.0
종로구,창신동,동대문 서울달빛,1982,0.1337,10,40.0,1.9997770917556368,0.1608,1.0,37.56916257,127.01374879,201214.62064970512,452180.4060977867,1,관광숙박업,숙박시설,4,385.0
종로구,연건동,브루클린,2025,0.3379,11,63.6,1.0283354452521425,0.1,1.0,37.57244418,127.00083322,200073.6066091858,452544.53811663593,2,관광숙박업,숙박시설,12,1331.0
