구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest2_damage_thousand_krw,nearest2_distance_km,nearest3_damage_thousand_krw,nearest3_distance_km,nearest4_damage_thousand_krw,nearest4_distance_km,nearest5_damage_thousand_krw,nearest5_distance_km
종로구,낙원동,오라카이 인사동 스위츠,37.57025733,126.98654665,19,94.7,0.6194439847728106,0.1322,0.08,30,45510.0,1006.6,5.0,0.024649931696075912,0.057439060472908386,5,0.024649931696075912,11,0.05288760074483105,0,0.058294887126507496,5,0.06809353391486546,5012,0.08326934888226202
종로구,관수동,호텔베뉴지,37.56598513,126.9900523,24,75.0,0.2811160606808903,0.1436,0.08,13,6629.0,375.4,75.0,0.014372853917972826,0.05628841957718892,75,0.014372853917972826,3,0.051388625690681665,156,0.05420414195958761,1634,0.0678057999849413,9,0.09367067633276122
종로구,관훈동,아미드 호텔 서울,37.56984481,126.98341181,5,60.0,1.2127064842946906,0.1565,0.12,18,15679.0,384.6,97.0,0.07213023142803572,0.08534105039064828,961,0.07213023142803572,97,0.07993915413179489,0,0.0834858910106934,11,0.08512484812673957,854,0.10602512725597776
종로구,당주동,포시즌스 호텔 서울,37.56801651,126.97463351,11,9.1,0.0120121564480035,0.1136,0.55,32,67265.0,7393.0,107.0,0.1544666787188709,0.19698285277069685,13,0.1544666787188709,0,0.1594749519848145,107,0.21495867764003593,31634,0.22060621129602564,5211,0.23540774421373717
종로구,와룡동,Hostel Tommy 호스텔 토미,37.5716747,126.99041695,62,69.4,2.1717454920352344,0.1851,1.0,4,469.0,1448.2,91.0,0.0304124755141659,0.046618355560316675,4152,0.0304124755141659,14,0.04236113002240223,17,0.04644162068554504,2967,0.05423162740002269,91,0.05964492417944752
종로구,운니동,노블관광호텔,37.57393452,126.98887068,22,54.5,3.049457672910154,0.1279,0.85,6,1229.0,111.8,76.0,0.0838324869111037,0.09452434486058514,28,0.0838324869111037,355,0.09436526531567027,11,0.09689160543390271,76,0.09705637421332215,89,0.10047599242892692
종로구,와룡동,바운드 호스텔,37.57338396,126.98952523,90,66.7,0.9784679768260464,0.248,1.0,6,1482.0,51.6,28.0,0.04206609312447616,0.044216639273044006,0,0.04206609312447616,90,0.04213003569117072,11,0.0421673161539586,129,0.043645224016852946,28,0.05107452737876162
종로구,익선동,호텔 이비스앰배서더 인사동,37.57168791,126.98843016,12,58.3,2.352052076140245,0.1165,0.7,12,14346.0,515.6,162.0,0.0540343601966336,0.07225970519536484,139,0.0540343601966336,1776,0.05730021462595482,162,0.07570508520528227,464,0.08099407442125413,37,0.09326479152769943
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,37.56764454,127.00812433,15,73.3,1.9090851529441544,0.1136,1.0,16,41731.0,502.2,462.0,0.03689781648844691,0.06546171488451505,462,0.03689781648844691,401,0.053636280184202946,488,0.057587775588271425,60,0.07675425777445614,1100,0.10243244438719779
종로구,인사동,도미인 익스프레스 서울 인사동,37.56962018,126.9863919,26,88.5,3.678599523494187,0.1094,0.7,16,4543.0,1005.6,5.0,0.03373814945913235,0.039665350125933675,5012,0.03373814945913235,5,0.034514558980184365,0,0.034759461783626135,11,0.03669690105195139,0,0.05861767935477413
종로구,효제동,더도아스테이,37.57184081,127.00175573,13,84.6,2.205256749033484,0.1065,0.7,11,95.0,3836.2,1414.0,0.10222418549056791,0.12561532416110516,1414,0.10222418549056791,0,0.12022485263974972,1465,0.12395708136659166,253,0.13792489469211006,16049,0.14374560661650637
종로구,창신동,케이스테이,37.56874973,127.01018412,2,50.0,2.577167206594277,0.178,0.08,6,498.0,342.6,60.0,0.1104426248562591,0.13100760138358095,31,0.1104426248562591,480,0.11864860268001032,1100,0.12969643045818696,60,0.14655708495740133,42,0.14969326396604693
종로구,창신동,오리지날 백패커스,37.56968368,127.01175024,2,100.0,1.4376179213932505,0.1837,0.18,6,276.0,8394.6,31.0,0.0464229938471213,0.08384368768060056,0,0.0464229938471213,31,0.06529056209905482,22,0.06851391995249251,1740,0.10664201301736309,40180,0.13234894948697112
중구,장충동,앰배서더 서울 풀만 호텔,37.55742965,127.00160709,3,0.0,0.0,0.188,0.45,20,32899.27,9615.8,440.0,0.10628343655384215,0.1624358859004335,69,0.10628343655384215,455,0.12105225012111147,1,0.13680015762353598,440,0.21635050227490743,47114,0.2316930829287705
성동구,성동,호텔 포코 성수,37.54070199,127.0562547,14,42.9,4.611152257665639,0.115,0.85,13,3177.53,206.8,189.0,0.042233237187800414,0.0855953006745521,189,0.042233237187800414,158,0.0776175018126682,248,0.09735020831247997,35,0.10187727130831926,404,0.10889828475149262
중구,회현동,루미아 호텔,37.55527178,126.97898241,0,0.0,0.0219789067187752,0.1136,0.12,6,956.0,77.4,58.0,0.10699179146208412,0.1462831825934563,211,0.10699179146208412,11,0.11237987863518105,102,0.1397076599016708,58,0.17567537541674555,5,0.19666120755159985
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,37.5619628,127.00695765,10,70.0,1.3909133069761852,0.1136,0.7,25,12563.0,6177.2,496.0,0.03577605562642558,0.09113323603906912,110,0.03577605562642558,25602,0.07877292847825937,405,0.09173359518181769,496,0.09951228171018027,4273,0.1498713191986627
