기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
49,마포구,성산동,성산동스테이,0.7832857014050844,0.1808181500932402,0.1416322715225535,0.5422,18,72.2,1.880846555708252,0.1265,0.04,37.55892185,126.907579,0
50,마포구,연남동,레스트 연남,0.8041398403824125,0.1742239103760412,0.1401003874805895,0.6182,17,94.1,2.957979335151154,0.138,0.18,37.5604589,126.92408367,0
51,마포구,연남동,씨유 하우스,0.7946730607032263,0.1762351605106547,0.1400493344065263,0.6182,15,93.3,2.9574684794567743,0.1394,0.18,37.56055478,126.92400504,0
52,중구,남산동,JEJARI STAY,0.7374899370518307,0.1895420863956067,0.1397853813645686,0.129,0,0.0,2.5709513761465352,0.1536,0.12,37.55589221,126.98425667,0
53,중구,장충동,반얀트리 클럽 앤 스파 서울,0.6811662579725649,0.2051025051642039,0.1397089059434994,0.3935,0,0.0,2.9363088530831902,0.1723,0.35,37.54780376,127.00218665,0
54,종로구,사간동,우 게스트하우스(Woo Guesthouse),0.7928305327938615,0.1759962931203827,0.1395352348443776,0.3502,15,26.7,3.869597161325917,0.1408,0.55,37.57520538,126.97909186,0
55,강남구,논현동,성모의 집,0.6350590882675832,0.2190775467372596,0.1391271870908629,0.5653,2,0.0,3.373054653489989,0.1337,0.45,37.50778742,127.03834074,0
56,마포구,합정동,스테이 로뎀 (안),0.7550534578154816,0.1840965838156498,0.139002762182024,0.3318,2,50.0,2.882403588246988,0.1322,0.18,37.54405815,126.91257835,0
57,중구,장충동,조이 게스트하우스,0.8119130512498703,0.1710686810508175,0.1388928948052601,0.3626,7,71.4,3.128782781341163,0.1808,0.08,37.55896433,127.00469018,0
58,송파구,신천동,나루홈스테이,0.6096118846183594,0.2275752233802384,0.1387325608172712,0.6925,4,25.0,1.3340259325741337,0.1237,0.12,37.51778563,127.10535959,0
59,영등포구,여의도동,콘래드 서울 호텔,0.7044887761887788,0.1969024139934062,0.138715540662831,0.2804,8,0.0,1.889397938791971,0.1179,0.18,37.5222288,126.92451214,0
60,서초구,서초동,르컬렉티브 강남 예술의전당 로이움,0.6816624605115794,0.2033252704539825,0.138599204141844,0.5037,7,42.9,1.4142257458090683,0.1022,0.04,37.48346166,127.01172065,0
61,강남구,삼성동,율 스테이,0.6268747314106766,0.2210486399114557,0.1385698067731892,0.6577,3,33.3,1.3687807786271822,0.1408,0.08,37.5103692,127.04405414,0
62,강남구,신사동,더 케이스타일,0.7379358507524479,0.1875953321507797,0.1384333210278737,0.6155,6,100.0,1.8766141400931968,0.1322,0.0,37.51758003,127.02266683,0
63,송파구,가락동,부티크 호텔 XYM,0.6135145504234562,0.2255642719791037,0.138386962914854,0.571,4,0.0,1.867477020686977,0.1079,0.25,37.49414553,127.12059352,0
64,용산구,이태원동,스테이 파키라(Stay Pachira),0.8541476072487795,0.1618095058671257,0.1382092022665128,0.2365,21,38.1,3.4850065721311685,0.1194,0.45,37.53120965,126.9912185,0
65,종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,0.6629361358026737,0.2078255437190024,0.1377750628741651,0.341,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,0
66,강남구,삼성동,스테이 서울풀,0.6549933960134524,0.2094860699983405,0.1372119924057248,0.6949,7,57.1,1.4337608983588144,0.1394,0.08,37.51209946,127.04936231,1
67,강서구,화곡동,Stay in Seoul,0.8241160700680904,0.1657631501433614,0.1366080758582538,0.2715,10,70.0,3.035362068324759,0.1394,0.08,37.541487,126.83883889,0
68,영등포구,여의도동,여의도파크호텔,0.6045588587676406,0.2230280199820337,0.1348335652335448,0.548,2,0.0,1.9622592870568427,0.1365,0.25,37.52553582,126.91930406,0
69,종로구,내수동,The Loft Gyeongbok,0.5359119043017504,0.2496409541718566,0.1337855591419457,0.7114,0,0.0,0.6931471805599453,0.1194,0.08,37.5698882,126.97020602,0
70,성동구,성동,호텔 포코 성수,0.8174226466888361,0.1635853515688438,0.133718371038928,0.2394,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,0
