좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
13.0,201801.30013730587,552526.9513245515,1982201691084522368200000000,종교시설,4.0,1.0,5,43.35
13.0,201801.30013730587,552526.9513245515,0000201729674522527100000000,,1.0,0.0,1,31.07
13.0,201801.30013730587,552526.9513245515,0000201710404522569800000000,,1.0,0.0,1,41.2
13.0,201801.30013730587,552526.9513245515,0000201724144522604000000000,,1.0,0.0,1,39.41
14.0,197912.5694321283,550501.8263390432,1966197869054501553900000000,제1종근린생활시설,2.0,0.0,2,48.83
14.0,197912.5694321283,550501.8263390432,1985197870534501641400000000,제1종근린생활시설,4.0,1.0,5,42.65
14.0,197912.5694321283,550501.8263390432,0000197878314501664400000000,,1.0,0.0,1,46.52
14.0,197912.5694321283,550501.8263390432,0000197872684501710100000000,,1.0,0.0,1,39.27
14.0,197912.5694321283,550501.8263390432,0000197878274501716200000000,,1.0,0.0,1,43.31
14.0,197912.5694321283,550501.8263390432,1947197871024501781600000000,단독주택,1.0,0.0,1,33.63
14.0,197912.5694321283,550501.8263390432,0000197878094501788800000000,,1.0,0.0,1,39.4
14.0,197912.5694321283,550501.8263390432,1970197871794501892200000000,단독주택,3.0,1.0,4,29.81
14.0,197912.5694321283,550501.8263390432,0000197892474501945400000000,,1.0,0.0,1,49.6
14.0,197912.5694321283,550501.8263390432,0000197842704501500600000000,,1.0,0.0,1,46.58
14.0,197912.5694321283,550501.8263390432,2010197806934501722100000000,,1.0,0.0,1,43.5
14.0,197912.5694321283,550501.8263390432,0000197840434501888500000000,,1.0,0.0,1,8.17
14.0,197912.5694321283,550501.8263390432,1984197874784502066900000000,제1종근린생활시설,4.0,1.0,5,33.41
14.0,197912.5694321283,550501.8263390432,0000197872694502214000000000,제1종근린생활시설,3.0,1.0,4,38.73
15.0,201161.56956579944,552070.7311822909,1987201082274517706700000000,제1종근린생활시설,5.0,1.0,6,10.99
15.0,201161.56956579944,552070.7311822909,1964201075734517973800000000,공장,1.0,0.0,1,35.78
15.0,201161.56956579944,552070.7311822909,0000201069714517536600000000,,1.0,0.0,1,25.22
15.0,201161.56956579944,552070.7311822909,0000201123904517651100000000,,1.0,0.0,1,31.94
15.0,201161.56956579944,552070.7311822909,0000201108304518082000000000,,1.0,0.0,1,45.71
16.0,198527.2010799602,551901.1550598735,1986198490194515793200000000,업무시설,15.0,3.0,18,36.61
16.0,198527.2010799602,551901.1550598735,1971198450384516223200000000,자동차관련시설,12.0,1.0,13,27.32
16.0,198527.2010799602,551901.1550598735,0000198464474516275900000000,,1.0,0.0,1,32.36
17.0,198549.37739769503,551960.972726138,1971198450384516223200000000,자동차관련시설,12.0,1.0,13,44.53
17.0,198549.37739769503,551960.972726138,0000198464474516275900000000,,1.0,0.0,1,32.07
17.0,198549.37739769503,551960.972726138,2010198520694516444200000000,업무시설,28.0,6.0,34,42.48
17.0,198549.37739769503,551960.972726138,1969198449154516583700000000,업무시설,12.0,2.0,14,30.71
17.0,198549.37739769503,551960.972726138,0000198467274516600700000000,,1.0,0.0,1,13.2
17.0,198549.37739769503,551960.972726138,0000198480454516653900000000,,1.0,0.0,1,9.63
17.0,198549.37739769503,551960.972726138,0000198454424516706900000000,,1.0,0.0,1,29.4
17.0,198549.37739769503,551960.972726138,0000198460034516709700000000,제1종근린생활시설,1.0,0.0,1,24.89
17.0,198549.37739769503,551960.972726138,0000198479334516711500000000,제2종근린생활시설,1.0,0.0,1,15.37
17.0,198549.37739769503,551960.972726138,1975198486564516749900000000,제2종근린생활시설,5.0,1.0,6,20.38
17.0,198549.37739769503,551960.972726138,0000198491314516791000000000,,1.0,0.0,1,26.02
17.0,198549.37739769503,551960.972726138,1948198431514516681800000000,제2종근린생활시설,2.0,0.0,2,49.81
17.0,198549.37739769503,551960.972726138,0000198480864516840900000000,,1.0,0.0,1,28.33
17.0,198549.37739769503,551960.972726138,1964198446774516848500000000,업무시설,6.0,1.0,7,43.96
17.0,198549.37739769503,551960.972726138,1934198459474516925600000000,제1종근린생활시설,2.0,0.0,2,41.99
18.0,200401.72293956898,552062.9568302049,0000200338664517103000000000,,1.0,0.0,1,47.89
18.0,200401.72293956898,552062.9568302049,0000200329954517155500000000,,1.0,0.0,1,42.25
18.0,200401.72293956898,552062.9568302049,0000200318144517182300000000,,1.0,0.0,1,41.91
18.0,200401.72293956898,552062.9568302049,0000200373574517365200000000,,1.0,0.0,1,46.57
18.0,200401.72293956898,552062.9568302049,0000200373254517582100000000,,1.0,0.0,1,41.13
18.0,200401.72293956898,552062.9568302049,0000200360334517618600000000,,1.0,0.0,1,28.52
18.0,200401.72293956898,552062.9568302049,0000200320854517731400000000,,1.0,0.0,1,19.08
18.0,200401.72293956898,552062.9568302049,0000200376534517778500000000,,1.0,0.0,1,48.76
18.0,200401.72293956898,552062.9568302049,0000200332774517816900000000,,1.0,0.0,1,23.96
18.0,200401.72293956898,552062.9568302049,0000200328634517932900000000,,1.0,0.0,1,35.72
18.0,200401.72293956898,552062.9568302049,0000200337114518022100000000,,1.0,0.0,1,44.75
18.0,200401.72293956898,552062.9568302049,0000200309184517198900000000,,1.0,0.0,1,44.26
19.0,201192.31984822478,552214.3525444112,1994201124714518657900000000,판매시설,9.0,2.0,11,43.38
19.0,201192.31984822478,552214.3525444112,1996201150834518763500000000,제1종근린생활시설,5.0,3.0,8,43.18
19.0,201192.31984822478,552214.3525444112,1968201147074518943400000000,판매시설,8.0,1.0,9,28.48
19.0,201192.31984822478,552214.3525444112,1969201106654518943400000000,단독주택,2.0,0.0,2,21.84
19.0,201192.31984822478,552214.3525444112,1969201103344519091400000000,제1종근린생활시설,4.0,1.0,5,19.39
