구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
종로구,창신동,낙산별화,2,고위험군,37.57584109,127.0086944,200768.0297,452921.591,37.29374739,39.89962540193597,-2.605878011935971,3.8845674748567807
종로구,창신동,STAY-JUN,2,고위험군,37.57468047,127.0096493,200852.3931,452792.7839,41.78732154,40.86807760580108,0.9192439341989171,3.8845674748567807
종로구,통인동,오렌지,2,고위험군,37.57754872,126.9700155,197351.3499,453111.5054,53.30065427,48.382498530408824,4.918155739591178,3.8845674748567807
종로구,창신동,white house,2,고위험군,37.57061763,127.0128817,201138.0,452341.89,36.41708504,40.09166974831149,-3.6745847083114853,3.8845674748567807
종로구,숭인동,스테이지니,2,고위험군,37.57532974,127.0216079,201908.7635,452865.021,34.84774418,43.861225918596645,-9.013481738596646,3.8845674748567807
종로구,창신동,낙산 네스트(Naksan Nest),2,고위험군,37.57452089,127.0098405,200869.2886,452775.0741,34.99955458,40.527884763650164,-5.528330183650162,3.8845674748567807
종로구,동숭동,고은,2,고위험군,37.58044549,127.0047395,200418.6424,453432.6016,39.91231704,39.89962540193597,0.012691638064026733,3.8845674748567807
종로구,충신동,램파트 게스트하우스,2,고위험군,37.57211599,127.0072916,200644.1406,452508.1375,42.05940877,39.89962540193597,2.1597833680640264,3.8845674748567807
종로구,행촌동,잔잔스테이,2,고위험군,37.57102423,126.9628053,196714.1624,452387.5901,54.42816398,53.153428792509175,1.2747351874908261,3.8845674748567807
종로구,충신동,테이블 노트,2,고위험군,37.57321044,127.0069916,200617.6295,452629.6067,36.71474352,40.673289768763055,-3.9585462487630565,3.8845674748567807
종로구,숭인동,헬로서울,2,고위험군,37.57545495,127.0153898,201359.4829,452878.8098,27.10943643,43.38385854332036,-16.27442211332036,3.8845674748567807
종로구,부암동,라오테아로아 로그 하우스,2,고위험군,37.59531576,126.966535,197044.6115,455083.5494,61.45568017,52.59650018802017,8.859179981979828,3.8845674748567807
종로구,동숭동,J-Park Story 동숭동,2,고위험군,37.57760907,127.004499,200397.4095,453117.7904,34.96233492,39.85298606067335,-4.890651140673349,3.8845674748567807
중구,(회현동,제이하우스,2,고위험군,37.55421386,126.9800582,198237.9105,450521.3737,51.64901113,53.33998615755968,-1.6909750275596807,3.8845674748567807
