구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_구조노후도,bw_intercept,bw_구조노후도
종로구,효제동,제이오 호스텔 동대문,2,고위험군,37.56986057,127.0034356,200303.5112,452257.7927,33.50913576,-3.7586495382907046,37.970100156105374,4.240030773416272,43.0,435.0
종로구,종로5가,라임모텔,2,고위험군,37.56856888,127.0004601,200040.6508,452114.4247,41.27516171,4.310501231108127,37.50726730863191,4.2322503074901405,43.0,435.0
종로구,숭인동,덕흥,2,고위험군,37.57367008,127.0214717,201896.7751,452680.8152,38.53511017,2.86385546627627,36.52554959226809,4.206887207097049,43.0,435.0
종로구,돈의동,Z 호텔,2,고위험군,37.56858936,126.9898379,199102.2361,452116.7462,29.43029865,-6.1636324794081325,36.36691343314894,4.060677201804962,43.0,435.0
종로구,필운동,수모텔,2,고위험군,37.57395332,126.9675412,197132.6501,452712.5301,41.02907176,-0.5372127963477169,42.31360790888612,3.9258840536751927,43.0,435.0
종로구,창신동,한도,2,고위험군,37.56828544,127.0156007,201378.2407,452083.0805,30.77747565,-6.959741071454786,38.49126197131847,4.244664984945559,43.0,435.0
종로구,숭인동,영진,2,고위험군,37.57332819,127.0214249,201892.6486,452642.8684,36.0576003,0.2931375320964662,36.565476037572154,4.207931160578419,43.0,435.0
종로구,명륜4가,소풍모텔,2,고위험군,37.58042554,126.9997149,199974.8179,453430.3768,39.1525801,0.5370318230009588,38.99148921518405,4.141404756887909,43.0,435.0
종로구,종로5가,대동장(大同莊),2,고위험군,37.56872917,127.0019131,200169.0098,452132.2166,35.65537389,-0.4969389107879394,37.1183537328735,4.240938331390671,43.0,435.0
종로구,관철동,우미관호텔,2,고위험군,37.56707898,126.9858974,198754.086,451949.1566,45.38043697,-2.328476024313332,36.04662573424454,4.001699119922268,43.0,435.0
종로구,창신동,토이 게스트하우스,2,고위험군,37.56855581,127.012486,201103.0655,452113.0472,41.68499332,-7.279684717240023,38.269304911102275,4.252125477853039,43.0,435.0
종로구,숭인동,선라이즈(Sunrise),2,고위험군,37.57299352,127.0212126,201873.9088,452605.7197,35.00397822,-0.7867026211337489,36.5919819556993,4.209443284730522,43.0,435.0
종로구,명륜4가,혜화여관,2,고위험군,37.5794505,126.9987863,199892.7874,453322.1592,43.00543775,4.762341685930608,39.1857170992502,4.138124532097316,43.0,435.0
종로구,홍지동,종로 238,2,고위험군,37.59779306,126.9583077,196318.1531,455358.7928,47.32919591,3.0221847956206105,45.0441525861792,3.6299772702833826,43.0,435.0
종로구,관철동,엠제이 스테이,2,고위험군,37.566705,126.9841567,198600.2981,451907.6737,36.87224453,1.477445130323673,36.00576151351149,3.995134995955252,43.0,435.0
중구,신당동,세화장여관,2,고위험군,37.54757845,127.0070693,200624.71,449784.7595,63.73001112,7.182443610616048,43.03740499779008,4.611179278165712,43.0,435.0
중구,(회현동,동원여관,2,고위험군,37.55490708,126.9809224,198314.2907,450598.297,54.41302238,-0.03310196056155945,41.996308048310105,4.319025080408753,43.0,435.0
중구,주교동,라이프인 청계,2,고위험군,37.56574695,126.9967838,199715.8574,451801.2282,39.97448974,4.0238479207564595,36.646656894190954,4.201997585130694,43.0,435.0
중구,황학동,크리스티2,2,고위험군,37.56329068,127.0216644,201914.0679,451528.8269,37.95439684,-0.6209066373173684,39.329958404952514,4.248096977772351,43.0,435.0
중구,(필동,한일장모텔,2,고위험군,37.55791958,126.9942743,199494.0929,450932.493,36.9432646,-3.033228286081929,40.88091511263893,4.2051116765985395,43.0,435.0
중구,(광희동,그리다 DDP,2,고위험군,37.56298903,127.0053967,200476.8053,451495.1403,50.2522974,8.722145631117115,42.66428721099399,4.287609492179024,43.0,435.0
중구,산림동,광신장여관,2,고위험군,37.56514549,126.9966723,199706.0016,451734.4736,55.19424843,4.905294209606069,36.97151068984768,4.202025449900494,43.0,435.0
중구,명동,아트래블홈(ARTRAVEL HOME),2,고위험군,37.55881514,126.9832162,198517.0534,451032.0066,42.67144237,3.9086987984749584,39.09325805049664,4.233911797052233,43.0,435.0
중구,을지로3가,지요크 을지로,2,고위험군,37.56285139,126.9899303,199110.3283,451479.8979,33.02704275,-2.206489822504494,36.31920101210126,4.104379542455277,43.0,435.0
중구,(남산동,(주)더로드서울,2,고위험군,37.55615138,126.9832058,198516.0737,450736.361,51.80667462,-6.474840773179068,42.704186867995126,4.289044587056815,43.0,435.0
중구,명동,하이 서울 호스텔 명동 센트럴,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.93704142,-7.470865301333902,38.625413371509,4.265910055441978,43.0,435.0
중구,남대문로5가,한블레싱(Hanblessing),2,고위험군,37.55159894,126.9741552,197716.2329,450231.2759,46.25973879,7.251321900350625,39.901571583632986,4.398248317370346,43.0,435.0
중구,(광희동,넘버25호텔 동대문점,2,고위험군,37.56249772,127.0061175,200540.4915,451440.6146,48.62374821,3.3262380416782307,42.5996088081058,4.294720466009754,43.0,435.0
중구,명동,슬립박스(SLEEP BOX),2,고위험군,37.55921779,126.9847031,198648.4373,451076.6735,27.17299352,-10.077390951488319,39.513983771480554,4.203206081458418,43.0,435.0
중구,황학동,인득여관,2,고위험군,37.56523964,127.0204086,201803.0656,451745.1137,36.33265081,-0.5145949603610092,38.55025139988162,4.2413135902240695,43.0,435.0
중구,신당동,한일여관,2,고위험군,37.56128515,127.0096517,200852.7596,451306.0598,49.06440075,-5.669500347018179,41.96117300786071,4.312702617533088,43.0,435.0
중구,주교동,트래블러스 A 코리아 호스텔,2,고위험군,37.56562443,126.9981173,199833.6663,451787.6267,26.98081157,-9.25968510685717,36.99004271083075,4.219338037853337,43.0,435.0
중구,신당동,J모텔,2,고위험군,37.56126414,127.0133052,201175.5546,451303.7674,51.3624778,-2.6691712603503674,39.96721167858408,4.30718659848675,43.0,435.0
중구,신당동,조이풀스테이(Joyful Stay),2,고위험군,37.56245881,127.0165259,201460.0902,451436.4068,32.59265257,-5.823454654564266,38.21820723143241,4.2801167441912025,43.0,435.0
중구,신당동,타임스테이,2,고위험군,37.56254877,127.0182782,201614.907,451446.42,37.1456537,-0.5906276539436419,38.1752675463484,4.271020626916073,43.0,435.0
중구,(광희동,트리쉐이도호텔,2,고위험군,37.56259916,127.0051718,200456.9375,451451.8682,37.68394494,-2.768639029950293,42.5511612606023,4.290662277931011,43.0,435.0
중구,신당동,재화여관,2,고위험군,37.56191425,127.0171769,201517.6227,451375.9774,31.38874892,-6.1298067912649294,38.17350764771511,4.282788314901579,43.0,435.0
중구,신당동,S(에스)모텔,2,고위험군,37.5592684,127.0167706,201481.7731,451082.3129,35.56436047,-2.1911264473180694,38.521991787695896,4.314802572751661,43.0,435.0
중구,을지로7가,백금여관,2,고위험군,37.56224445,127.00925,200817.2577,451412.5273,40.09465915,-1.8342115639142378,42.15827290720054,4.300371763451251,43.0,435.0
중구,남학동,진포레스트인(JIN FOREST Inn),2,고위험군,37.55791929,126.9904146,199153.0654,450932.4886,54.48620758,2.6091096725410594,40.136744889816775,4.188875491136561,43.0,435.0
중구,신당동,은성여관,2,고위험군,37.56201847,127.01763,201557.6539,451387.552,44.83448931,7.5950110340695005,38.15989087794554,4.279458936735825,43.0,435.0
중구,초동,호텔베네,2,고위험군,37.56229779,126.9916416,199261.5166,451418.44,36.83462921,0.5415326966392229,37.13133505128473,4.127819361879386,43.0,435.0
중구,(광희동,호텔 아라,2,고위험군,37.56264071,127.0047345,200418.3012,451456.4778,37.89811068,-3.952459327684913,42.4549988373572,4.289156453161711,43.0,435.0
중구,북창동,피넛호텔,2,고위험군,37.55942482,126.9770407,197971.4237,451099.7892,40.49299842,2.2440394000872814,37.253066464254964,4.27994684403435,43.0,435.0
중구,신당동,청구 리빙텔,2,고위험군,37.55972529,127.0140647,201242.6817,451132.983,36.44685439,-2.9253357171102508,39.76469883351426,4.323917247473634,43.0,435.0
